,Date Local,NO2 Mean
0,2013-12-01,17.208333
1,2013-12-02,20.6875
2,2013-12-03,14.9125
3,2013-12-04,7.825
4,2013-12-05,8.004762
5,2013-12-06,6.05
6,2013-12-07,5.3
7,2013-12-08,8.5
8,2013-12-09,6.0833330000000005
9,2013-12-10,9.9875
10,2013-12-11,18.895833
11,2013-12-12,12.108333
12,2013-12-13,25.329167
13,2013-12-14,9.145833
14,2013-12-15,3.770833
15,2013-12-16,17.208333
16,2013-12-17,17.283333
17,2013-12-18,21.283333
18,2013-12-19,19.459091
19,2013-12-20,8.5
20,2013-12-21,4.070833
21,2013-12-22,7.920833
22,2013-12-23,4.716667
23,2013-12-24,4.504167
24,2013-12-25,12.745833
25,2013-12-26,16.1875
26,2013-12-27,18.541667
27,2013-12-28,15.554167
28,2013-12-29,10.9375
29,2013-12-30,9.179167
30,2013-12-31,12.133333
31,2014-01-01,16.5125
32,2014-01-02,3.6625
33,2014-01-03,1.725
34,2014-01-06,4.8727269999999985
35,2014-01-07,12.7625
36,2014-01-08,58.58181800000001
37,2014-02-18,7.693333
38,2014-02-19,12.175
39,2014-02-20,4.875
40,2014-02-21,10.183333
41,2014-02-22,16.070833
42,2014-02-23,18.908333
43,2014-02-24,6.7708330000000005
44,2014-02-25,17.004762
45,2014-02-26,4.595833
46,2014-02-27,6.12
47,2014-02-28,7.58
48,2014-03-03,3.485714
49,2014-03-04,11.190909
50,2014-03-05,8.475
51,2014-03-06,8.6625
52,2014-03-07,13.394118
53,2014-03-08,17.566667000000002
54,2014-03-09,12.908333
55,2014-03-10,17.0875
56,2014-03-11,14.245833
57,2014-03-12,6.164286
58,2014-03-13,13.614285999999998
59,2014-03-14,19.130435
60,2014-03-15,8.5875
61,2014-03-16,9.65
62,2014-03-17,4.541667
63,2014-03-18,7.0125
64,2014-03-19,9.045833
65,2014-03-20,11.925
66,2014-03-21,21.241667
67,2014-03-22,15.585714
68,2014-03-24,6.123529
69,2014-03-25,4.840909
70,2014-03-26,12.129167
71,2014-03-27,6.0125
72,2014-03-28,7.854166999999999
73,2014-03-29,3.1333330000000004
74,2014-03-30,6.516667
75,2014-03-31,21.854545
76,2014-04-01,13.526667000000002
77,2014-04-02,5.87
78,2014-04-03,6.775
79,2014-04-04,9.892308
80,2014-04-05,2.554167
81,2014-04-06,6.604167
82,2014-04-07,6.041667
83,2014-04-08,4.304545
84,2014-04-09,8.469565
85,2014-04-10,13.595833
86,2014-04-11,11.466667
87,2014-04-12,12.845833
88,2014-04-13,2.770833
89,2014-04-14,8.6625
90,2014-04-15,2.545833
91,2014-04-16,7.295833
92,2014-04-17,4.491667
93,2014-04-18,6.358333
94,2014-04-19,5.7
95,2014-04-20,8.95
96,2014-04-21,15.427273
97,2014-04-22,11.7
98,2014-04-23,8.7
99,2014-04-24,13.333332999999998
100,2014-04-25,5.3333330000000005
101,2014-04-26,12.520833
102,2014-04-27,7.05
103,2014-04-28,3.6125
104,2014-04-29,6.095833
105,2014-04-30,6.35
106,2014-05-01,5.6375
107,2014-05-02,10.445833
108,2014-05-03,12.808333
109,2014-05-04,13.779167
110,2014-05-05,11.527273
111,2014-05-06,13.941667
112,2014-05-07,9.191667
113,2014-05-08,8.791667
114,2014-05-09,8.291667
115,2014-05-10,10.35
116,2014-05-11,5.05
117,2014-05-12,6.325
118,2014-05-13,11.945833
119,2014-05-14,10.120833
120,2014-05-15,4.929167
121,2014-05-16,13.7125
122,2014-05-17,10.0375
123,2014-05-18,5.925
124,2014-05-19,8.486364
125,2014-05-20,8.091667
126,2014-05-21,11.395833
127,2014-05-22,11.291667
128,2014-05-23,10.766667
129,2014-05-24,11.729167
130,2014-05-25,8.254167
131,2014-05-26,6.675
132,2014-05-27,5.7875
133,2014-05-28,7.554167
134,2014-05-29,7.258333
135,2014-05-30,7.533333
136,2014-05-31,5.591667
