,Date Local,NO2 Mean
0,2014-07-01,2.080952
1,2014-07-02,1.820833
2,2014-07-03,2.954167
3,2014-07-04,3.240909
4,2014-07-05,3.666667
5,2014-07-06,2.983333
6,2014-07-07,2.309091
7,2014-07-08,2.17619
8,2014-07-09,3.305556
9,2014-07-10,4.472222
10,2014-07-11,4.258333
11,2014-07-12,1.7333330000000002
12,2014-07-13,1.05
13,2014-07-14,1.125
14,2014-07-15,0.85
15,2014-07-16,1.995455
16,2014-07-17,2.604167
17,2014-07-18,2.0333330000000003
18,2014-07-19,0.85
19,2014-07-20,0.804167
20,2014-07-21,2.966667
21,2014-07-22,3.263636
22,2014-07-23,2.6375
23,2014-07-24,2.191667
24,2014-07-25,1.984615
25,2014-07-26,2.9
26,2014-07-27,3.525
27,2014-07-28,3.754545
28,2014-07-29,3.091667
29,2014-07-30,4.45
30,2014-07-31,4.672727
31,2014-08-01,1.7375
32,2014-08-02,0.770833
33,2014-08-03,2.313636
34,2014-08-04,4.108333
35,2014-08-05,3.808696
36,2014-08-06,3.368182
37,2014-08-07,3.479167
38,2014-08-08,4.595833
39,2014-08-09,3.336364
40,2014-08-10,1.879167
41,2014-08-11,1.721429
42,2014-08-12,4.225
43,2014-08-13,3.95
44,2014-08-14,3.913333
45,2014-08-15,4.591667
46,2014-08-16,3.091667
47,2014-08-17,4.258333
48,2014-08-18,2.268182
49,2014-08-19,2.395833
50,2014-08-20,2.516667
51,2014-08-21,3.4272730000000005
52,2014-08-22,5.379167
53,2014-08-23,4.445833
54,2014-08-24,4.2454550000000015
55,2014-08-25,3.754545
56,2014-08-26,1.595833
57,2014-08-27,2.813636
58,2014-08-28,5.179167
59,2014-08-29,1.6416669999999998
60,2014-08-30,4.1272730000000015
61,2014-08-31,3.3833330000000004
62,2014-09-01,3.520833
63,2014-09-02,4.155556
64,2014-09-03,7.966667
65,2014-09-04,13.583332999999998
66,2014-09-05,11.863636
67,2014-09-06,14.929167
68,2014-09-07,10.1625
69,2014-09-08,16.668182
70,2014-09-09,16.558332999999998
71,2014-09-10,14.645832999999998
72,2014-09-11,22.054545
73,2014-09-12,10.9625
74,2014-09-13,14.545832999999998
75,2014-09-14,7.040909
76,2014-09-15,17.058332999999998
77,2014-09-18,15.025
78,2014-09-19,13.15
79,2014-09-20,4.763636
80,2014-09-21,2.245833
81,2014-09-22,8.254167
82,2014-09-23,8.554545
83,2014-09-24,11.0625
84,2014-09-25,16.733333
85,2014-09-26,23.768182
86,2014-09-27,17.329167
87,2014-09-28,10.258333
88,2014-09-29,5.777273
89,2014-09-30,3.05
90,2014-10-01,6.536364
91,2014-10-02,9.522727
92,2014-10-03,8.5125
93,2014-10-04,4.2083330000000005
94,2014-10-05,1.645455
95,2014-10-06,4.529167
96,2014-10-07,10.791667
97,2014-10-08,9.282609
98,2014-10-09,6.85
99,2014-10-10,7.6375
100,2014-10-11,11.904545
101,2014-10-12,6.754167
102,2014-10-13,9.05
