,Date Local,NO2 Mean
0,2007-01-01,5.2083330000000005
1,2007-01-02,17.869564999999994
2,2007-01-03,18.958333
3,2007-01-04,16.958333
4,2007-01-05,11.875
5,2007-01-06,10.75
6,2007-01-07,5.416667
7,2007-01-08,12.375
8,2007-01-09,9.791667
9,2007-01-10,17.916667
10,2007-01-11,12.916667
11,2007-01-12,13.083333
12,2007-01-13,9.041667
13,2007-01-14,8.375
14,2007-01-15,6.666667
15,2007-01-16,6.73913
16,2007-01-17,11.583333
17,2007-01-18,12.958333
18,2007-01-19,14.583332999999998
19,2007-01-20,18.708333
20,2007-01-21,10.583333
21,2007-01-22,10.25
22,2007-01-23,18.0
23,2007-01-24,12.083333
24,2007-01-25,15.875
25,2007-01-26,21.541667
26,2007-01-27,18.625
27,2007-01-28,7.333333
28,2007-01-29,18.521739
29,2007-01-30,8.458333
30,2007-01-31,14.416667000000002
31,2007-02-01,9.75
32,2007-02-02,8.166667
33,2007-02-03,17.0
34,2007-02-04,15.416667000000002
35,2007-02-05,15.458332999999998
36,2007-02-06,19.458333
37,2007-02-07,16.875
38,2007-02-08,15.958332999999998
39,2007-02-09,16.791667
40,2007-02-10,15.083332999999998
41,2007-02-11,19.541667
42,2007-02-12,15.521739000000002
43,2007-02-13,8.916667
44,2007-02-14,5.125
45,2007-02-15,4.041667
46,2007-02-16,8.125
47,2007-02-17,7.291666999999999
48,2007-02-18,9.208333
49,2007-02-19,8.166667
50,2007-02-20,6.916667
51,2007-02-21,12.041667
52,2007-02-22,19.041667
53,2007-02-23,18.416667
54,2007-02-24,6.625
55,2007-02-25,5.0
56,2007-02-26,16.086957
57,2007-02-27,17.863636
58,2007-02-28,15.666667000000002
59,2007-03-01,5.416667
60,2007-03-02,11.791667
61,2007-03-03,4.666667
62,2007-03-04,4.7083330000000005
63,2007-03-05,27.0
64,2007-03-06,29.708333000000003
65,2007-03-07,26.875
66,2007-03-08,22.833333
67,2007-03-09,25.75
68,2007-03-10,19.875
69,2007-03-11,14.208332999999998
70,2007-03-12,18.695652
71,2007-03-13,8.958333
72,2007-03-14,9.458333
73,2007-03-15,9.833333
74,2007-03-16,6.125
75,2007-03-17,14.458332999999998
76,2007-03-18,12.583333
77,2007-03-19,12.958333
78,2007-03-20,10.125
79,2007-03-21,8.25
80,2007-03-22,8.416667
81,2007-03-23,10.875
82,2007-03-24,8.875
83,2007-03-25,10.666667
84,2007-03-26,14.26087
85,2007-03-27,14.5
86,2007-03-28,9.25
87,2007-03-29,15.666667000000002
88,2007-03-30,14.208332999999998
89,2007-03-31,9.125
90,2007-04-01,13.416667000000002
91,2007-04-02,14.375
92,2007-04-03,6.125
93,2007-04-04,4.666667
94,2007-04-05,6.3333330000000005
95,2007-04-06,3.708333
96,2007-04-07,3.041667
97,2007-04-08,4.7083330000000005
98,2007-04-09,10.173913
99,2007-04-10,12.041667
100,2007-04-11,5.125
101,2007-04-12,11.833333
102,2007-04-13,16.291667
103,2007-04-14,5.291667
104,2007-04-15,6.0
