,Date Local,NO2 Mean
0,2011-01-01,25.916667
1,2011-01-02,15.208332999999998
2,2011-01-03,25.166667
3,2011-01-04,35.136364
4,2011-01-05,30.708333000000003
5,2011-01-06,30.666667
6,2011-01-07,28.625
7,2011-01-08,23.875
8,2011-01-09,9.916667
9,2011-01-10,27.26087
10,2011-01-13,17.125
11,2011-01-14,26.791667
12,2011-01-15,19.166667
13,2011-01-16,11.708333
14,2011-01-17,20.041667
15,2011-01-18,19.75
16,2011-01-19,16.5
17,2011-01-20,14.125
18,2011-01-21,10.333333
19,2011-01-22,11.625
20,2011-01-23,13.958332999999998
21,2011-01-24,14.0
22,2011-01-25,25.541667
23,2011-01-26,27.708333000000003
24,2011-01-27,23.541667
25,2011-01-28,25.791667
26,2011-01-29,16.583333
27,2011-01-30,21.333333
28,2011-01-31,20.0
29,2011-02-01,26.916667
30,2011-02-02,17.416667
31,2011-02-03,17.565217
32,2011-02-04,28.208333000000003
33,2011-02-05,21.875
34,2011-02-06,11.166667
35,2011-02-07,23.375
36,2011-02-08,10.291667
37,2011-02-09,14.333332999999998
38,2011-02-18,16.708333
39,2011-02-19,2.304348
40,2011-02-20,4.541667
41,2011-02-21,12.875
42,2011-02-22,16.833333
43,2011-02-23,23.125
44,2011-02-24,21.913043
45,2011-02-25,9.541667
46,2011-02-26,7.625
47,2011-02-27,7.125
48,2011-02-28,10.625
49,2011-03-07,6.02
50,2011-03-08,10.678261
51,2011-03-09,9.541667
52,2011-03-10,6.3125
53,2011-03-11,8.3
54,2011-03-12,9.354167
55,2011-03-13,7.916666999999999
56,2011-03-14,12.4
57,2011-03-15,10.466667
58,2011-03-16,12.508333
59,2011-03-17,12.995833
60,2011-03-18,18.166667
61,2011-03-19,5.829167
62,2011-03-20,5.225
63,2011-03-21,11.3375
64,2011-03-22,13.708332999999998
65,2011-03-23,10.3625
66,2011-03-24,10.76
67,2011-03-29,12.075
68,2011-03-30,15.459091
69,2011-03-31,12.0125
70,2011-05-13,5.4
71,2011-05-14,4.166667
72,2011-05-15,4.125
73,2011-05-16,17.125
74,2011-05-17,9.041667
75,2011-05-18,7.333333
76,2011-05-19,9.916667
77,2011-05-20,12.2
78,2011-05-23,5.866667
79,2011-05-24,12.166667
80,2011-05-25,9.083333
81,2011-05-26,6.954545
82,2011-05-27,8.375
83,2011-05-28,3.0
84,2011-05-29,1.833333
85,2011-05-30,7.041667
86,2011-05-31,12.208333
87,2011-06-01,7.291666999999999
88,2011-06-02,8.833333
89,2011-06-03,11.818182
90,2011-06-04,8.583333
91,2011-06-05,6.125
92,2011-06-06,8.958333
93,2011-06-07,9.526316
94,2011-06-13,12.0
