,Date Local,NO2 Mean
0,2000-01-01,26.541667
1,2000-01-02,14.958332999999998
2,2000-01-03,18.291667
3,2000-01-04,13.363635999999998
4,2000-01-05,16.625
5,2000-01-06,26.333333000000003
6,2000-01-07,26.625
7,2000-01-08,26.541667
8,2000-01-09,24.208333
9,2000-01-10,21.458333
10,2000-01-11,19.090909
11,2000-01-12,22.875
12,2000-01-13,20.458333
13,2000-01-14,14.541667000000002
14,2000-01-15,22.333333
15,2000-01-16,15.25
16,2000-01-17,10.166667
17,2000-01-18,27.5
18,2000-01-19,24.521739
19,2000-01-20,18.916667
20,2000-01-21,16.041667
21,2000-01-22,19.416667
22,2000-01-23,25.791667
23,2000-01-24,31.157895
24,2000-01-25,16.458333
25,2000-01-26,18.916667
26,2000-01-27,17.5
27,2000-01-28,22.291667
28,2000-01-29,34.0
29,2000-01-30,46.375
30,2000-01-31,24.75
31,2000-02-01,25.541667
32,2000-02-02,21.391304
33,2000-02-03,36.5
34,2000-02-04,33.166667
35,2000-02-05,19.541667
36,2000-02-06,16.791667
37,2000-02-07,21.541667
38,2000-02-08,22.772727
39,2000-02-09,27.083333000000003
40,2000-02-10,49.8
41,2000-02-11,35.25
42,2000-02-13,4.25
43,2000-02-14,7.0
44,2000-02-15,13.5
45,2000-02-16,25.478261
46,2000-02-17,13.458332999999998
47,2000-02-18,16.0
48,2000-02-19,9.75
49,2000-02-20,6.7083330000000005
50,2000-02-21,12.75
51,2000-02-22,16.291667
52,2000-02-23,22.958333
53,2000-02-24,17.625
54,2000-02-25,18.208333
55,2000-02-26,9.25
56,2000-02-27,7.416666999999999
57,2000-02-28,8.75
58,2000-02-29,21.045455
59,2000-03-01,38.541667
60,2000-03-02,15.541667000000002
61,2000-03-03,20.681818
62,2000-03-04,29.916667
63,2000-03-05,27.125
64,2000-03-06,30.375
65,2000-03-07,38.625
66,2000-03-08,42.541667
67,2000-03-09,41.695652
68,2000-03-10,21.708333
69,2000-03-11,23.833333
70,2000-03-12,14.125
71,2000-03-13,21.375
72,2000-03-14,24.875
73,2000-03-15,21.772727
74,2000-03-16,25.583333
75,2000-03-17,13.625
76,2000-03-18,18.0
77,2000-03-19,16.916667
78,2000-03-20,18.958333
79,2000-03-21,22.772727
80,2000-03-22,25.809524
81,2000-03-23,27.333333000000003
82,2000-03-24,28.041667
83,2000-03-25,24.75
84,2000-03-26,19.708333
85,2000-03-27,34.041667
86,2000-03-28,17.565217
87,2000-03-29,16.541667
88,2000-03-30,30.833333000000003
89,2000-03-31,29.375
90,2000-04-01,31.875
91,2000-04-02,12.125
92,2000-04-03,16.333333
93,2000-04-04,16.956522
94,2000-04-05,18.041667
95,2000-04-06,24.125
96,2000-04-07,28.333333000000003
97,2000-04-08,10.75
98,2000-04-09,9.0
99,2000-04-10,24.666667
100,2000-04-11,32.956522
101,2000-04-12,23.0
102,2000-04-13,27.875
103,2000-04-14,32.666667
104,2000-04-15,23.5
105,2000-04-16,19.75
106,2000-04-17,19.208333
107,2000-04-18,24.521739
108,2000-04-19,23.041667
109,2000-04-20,17.166667
110,2000-04-21,21.541667
111,2000-04-22,13.375
112,2000-04-23,12.083333
113,2000-04-24,24.125
114,2000-04-25,33.318182
115,2000-04-26,27.625
116,2000-04-27,21.333333
117,2000-04-28,27.125
118,2000-04-29,29.875
119,2000-04-30,20.416667
120,2000-05-01,27.375
121,2000-05-02,27.208333000000003
122,2000-05-03,24.782609
123,2000-05-04,18.875
124,2000-05-05,27.958333000000003
125,2000-05-06,28.0
126,2000-05-07,24.833333
127,2000-05-08,24.875
128,2000-05-09,20.695652
129,2000-05-10,18.666667
130,2000-05-11,23.791667
131,2000-05-12,25.75
132,2000-05-13,21.875
133,2000-05-14,14.958332999999998
134,2000-05-15,22.545455
135,2000-05-16,22.333333
136,2000-05-17,20.958333
137,2000-05-18,13.041667
138,2000-05-19,24.904762
139,2000-05-20,14.708332999999998
140,2000-05-21,12.916667
141,2000-05-22,19.363636
142,2000-05-23,14.478260999999998
143,2000-05-24,23.208333
144,2000-05-25,31.833333000000003
145,2000-05-26,31.333333000000003
146,2000-05-27,31.583333000000003
