,Date Local,NO2 Mean
0,2009-04-30,7.65
1,2009-05-01,7.375
2,2009-05-02,8.95
3,2009-05-03,5.3125
4,2009-05-04,5.8
5,2009-05-05,5.3125
6,2009-05-06,6.8
7,2009-05-07,5.5
8,2009-05-08,7.35
9,2009-05-09,7.3125
10,2009-05-10,5.5294120000000015
11,2009-05-11,8.0
12,2009-05-12,2.0
13,2009-05-13,7.0625
14,2009-05-14,4.9
15,2009-05-15,8.3125
16,2009-05-16,10.3
17,2009-05-17,3.6875
18,2009-05-18,9.55
19,2009-05-19,5.875
20,2009-05-20,2.65
21,2009-05-21,9.25
22,2009-05-22,12.6
23,2009-05-23,7.0625
24,2009-05-24,1.9
25,2009-05-25,6.9375
26,2009-05-26,7.25
27,2009-05-27,9.8125
28,2009-05-28,10.3
29,2009-05-29,6.5
30,2009-05-30,4.1
31,2009-05-31,4.4375
32,2009-06-01,4.7
33,2009-06-02,4.25
34,2009-06-03,7.75
35,2009-06-04,5.875
36,2009-06-05,7.684211
37,2009-06-06,3.75
38,2009-06-07,2.45
39,2009-06-08,5.25
40,2009-06-09,7.65
41,2009-06-10,4.8125
42,2009-06-18,4.3125
43,2009-06-19,5.2
44,2009-06-20,3.375
45,2009-06-21,0.75
46,2009-06-22,5.1875
47,2009-06-23,7.3
48,2009-06-24,6.875
49,2009-06-25,4.7
50,2009-06-26,2.75
51,2009-06-27,10.5
52,2009-06-28,4.75
53,2009-06-29,9.8
54,2009-06-30,5.5625
55,2009-07-01,8.8
56,2009-07-02,7.75
57,2009-07-03,5.85
58,2009-07-04,4.25
59,2009-07-05,2.9
60,2009-07-06,3.875
61,2009-07-07,1.65
62,2009-07-08,3.5
63,2009-07-09,5.9
64,2009-07-10,9.0
65,2009-07-11,8.95
66,2009-07-12,5.1875
67,2009-07-13,5.85
68,2009-07-14,9.3125
69,2009-07-15,12.45
70,2009-07-16,12.3125
71,2009-07-17,12.25
72,2009-07-18,7.6875
73,2009-07-19,0.882353
74,2010-01-05,17.5
75,2010-01-06,11.375
76,2010-01-07,8.583333
77,2010-01-08,12.958333
78,2010-01-09,13.041667
79,2010-01-10,15.666667000000002
80,2010-01-11,12.791667
81,2010-01-12,7.583333
82,2010-01-13,12.708333
83,2010-01-14,17.958333
84,2010-01-15,7.458333
85,2010-01-16,9.583333
86,2010-01-17,7.166667
87,2010-01-18,4.125
88,2010-01-19,5.041667
89,2010-01-20,3.208333
90,2010-01-21,8.708333
91,2010-01-22,14.25
92,2010-01-23,10.25
93,2010-01-24,11.833333
94,2010-01-25,5.5833330000000005
95,2010-01-26,7.125
96,2010-01-27,8.666667
97,2010-01-28,10.571429
98,2010-01-29,11.208333
99,2010-01-30,11.666667
100,2010-01-31,14.333332999999998
101,2010-02-01,11.583333
102,2010-02-02,18.25
103,2010-02-03,15.708332999999998
104,2010-02-04,10.5
105,2010-02-05,7.541666999999999
106,2010-02-06,8.5
107,2010-02-07,7.291666999999999
108,2010-02-08,14.625
109,2010-02-09,7.25
110,2010-02-10,9.125
111,2010-02-11,7.625
112,2010-02-12,11.666667
113,2010-02-13,11.666667
114,2010-02-14,6.666667
115,2010-02-15,7.041667
116,2010-02-16,7.5
117,2010-02-17,8.166667
118,2010-02-18,12.583333
119,2010-02-19,14.791667000000002
120,2010-02-20,7.875
121,2010-02-21,8.0
122,2010-02-22,17.916667
123,2010-02-23,8.708333
124,2010-02-24,9.666667
125,2010-02-25,12.291667
126,2010-02-26,4.052632
127,2010-02-27,6.0625
128,2010-02-28,7.8095240000000015
129,2010-03-01,10.416667
130,2010-03-02,6.25
131,2010-03-03,12.333333
132,2010-03-04,10.416667
133,2010-03-05,11.125
134,2010-03-06,11.458333
135,2010-03-07,13.833332999999998
136,2010-03-08,7.0833330000000005
137,2010-03-09,6.25
138,2010-03-10,12.583333
139,2010-03-11,12.958333
140,2010-03-12,3.916667
141,2010-03-13,1.625
142,2010-03-14,6.2083330000000005
143,2010-03-15,12.0
144,2010-03-16,6.375
145,2010-03-17,6.5833330000000005
146,2010-03-18,2.875
147,2010-03-19,8.25
148,2010-03-20,7.0833330000000005
149,2010-03-21,5.0
150,2010-03-22,6.9583330000000005
151,2010-03-23,12.416667
152,2010-03-24,9.166667
153,2010-03-25,8.041667
154,2010-03-26,6.136364
155,2010-03-27,12.583333
156,2010-03-28,5.375
157,2010-03-29,5.0833330000000005
158,2010-03-30,11.086957
159,2010-03-31,12.25
160,2010-04-01,9.75
161,2010-04-02,9.375
162,2010-04-03,2.5
163,2010-04-04,5.9583330000000005
164,2010-04-05,5.0833330000000005
165,2010-04-06,8.041667
166,2010-04-07,12.458333
167,2010-04-08,2.3125
168,2010-04-09,9.208333
169,2010-04-10,10.166667
170,2010-04-11,11.541667
171,2010-04-12,8.875
172,2010-04-13,13.208332999999998
173,2010-04-14,11.916667
174,2010-04-15,12.708333
175,2010-04-16,13.416667000000002
176,2010-04-17,10.666667
177,2010-04-18,8.625
178,2010-04-19,9.958333
179,2010-04-20,10.583333
180,2010-04-21,2.304348
181,2010-04-22,2.125
182,2010-04-23,6.666667
183,2010-04-24,5.3333330000000005
184,2010-04-25,3.583333
185,2010-04-26,7.375
186,2010-04-27,6.0
187,2010-04-28,4.916667
188,2010-04-29,5.5
189,2010-04-30,1.541667
190,2010-05-01,5.3333330000000005
191,2010-05-02,3.458333
192,2010-05-03,6.5833330000000005
193,2010-05-04,4.666667
194,2010-05-05,5.7083330000000005
195,2010-05-06,4.25
196,2010-05-07,10.0
197,2010-05-08,2.791667
198,2010-05-09,5.0833330000000005
199,2010-05-10,8.875
200,2010-05-11,0.708333
201,2010-05-12,2.333333
202,2010-05-13,9.416667
203,2010-05-14,8.458333
204,2010-05-15,6.625
205,2010-05-16,3.541667
206,2010-05-17,5.125
207,2010-05-18,7.291666999999999
208,2010-05-19,6.916667
209,2010-05-20,2.458333
210,2010-05-21,7.25
211,2010-05-22,3.458333
212,2010-05-23,3.166667
213,2010-05-24,3.708333
214,2010-05-25,4.5833330000000005
215,2010-05-26,5.2083330000000005
216,2010-05-27,6.7727270000000015
217,2010-05-28,2.041667
218,2010-05-29,2.208333
219,2010-05-30,4.75
220,2010-05-31,4.416667
221,2010-06-01,5.3333330000000005
222,2010-06-02,7.5
223,2010-06-03,4.3333330000000005
224,2010-06-04,7.565217
225,2010-06-05,3.875
226,2010-06-06,3.291667
227,2010-06-07,2.291667
228,2010-06-08,7.916666999999999
229,2010-06-09,6.8333330000000005
230,2010-06-10,1.363636
231,2010-06-11,0.458333
232,2010-06-12,0.541667
233,2010-06-13,8.75
234,2010-06-14,8.083333
235,2010-06-15,2.166667
236,2010-06-16,1.25
237,2010-06-17,7.333333
238,2010-06-18,8.291667
239,2010-06-19,5.5833330000000005
240,2010-06-20,2.25
241,2010-06-21,6.166667
242,2010-06-22,7.0833330000000005
243,2010-06-23,9.090909
244,2010-06-24,9.041667
245,2010-06-25,9.625
246,2010-06-26,6.2083330000000005
247,2010-06-27,8.291667
248,2010-06-28,6.125
249,2010-06-29,7.291666999999999
250,2010-06-30,2.416667
251,2010-07-01,4.227273
252,2010-07-02,0.736842
253,2010-07-03,1.318182
254,2010-07-04,3.384615
255,2010-07-05,0.928571
256,2010-07-06,4.85
257,2010-07-07,7.25
258,2010-07-08,8.25
259,2010-07-09,14.291667000000002
260,2010-07-10,4.5833330000000005
261,2010-07-11,7.611111
262,2010-07-12,5.416667
263,2010-07-13,1.631579
