,Date Local,NO2 Mean
0,2000-01-01,31.083333000000003
1,2000-01-02,10.95
2,2000-01-03,10.083333
3,2000-01-04,15.916667000000002
4,2000-01-05,24.958333
5,2000-01-06,29.428571
6,2000-01-07,23.166667
7,2000-01-08,18.958333
8,2000-01-09,10.6
9,2000-01-10,22.954545
10,2000-01-11,25.666667
11,2000-01-12,18.083333
12,2000-01-13,11.047619
13,2000-01-14,13.125
14,2000-01-15,18.041667
15,2000-01-16,24.45
16,2000-01-17,28.541667
17,2000-01-18,16.083333
18,2000-01-19,9.333333
19,2000-01-20,13.9
20,2000-01-21,16.375
21,2000-01-22,21.083333
22,2000-01-23,14.95
23,2000-01-24,15.291667000000002
24,2000-01-25,18.0
25,2000-01-26,11.416667
26,2000-01-27,13.333332999999998
27,2000-01-28,13.833332999999998
28,2000-01-29,11.041667
29,2000-01-30,9.65
30,2000-01-31,24.208333
31,2000-02-01,26.625
32,2000-02-02,16.541667
33,2000-02-03,32.904762
34,2000-02-04,21.958333
35,2000-02-05,14.666667000000002
36,2000-02-06,31.7
37,2000-02-07,56.958333
38,2000-02-08,32.347826
39,2000-02-09,34.416667
40,2000-02-10,25.52381
41,2000-02-11,25.333333
42,2000-02-12,16.875
43,2000-02-13,9.0
44,2000-02-14,24.125
45,2000-02-15,19.458333
46,2000-02-16,25.666667
47,2000-02-17,13.904762
48,2000-02-18,14.916667000000002
49,2000-02-19,9.666667
50,2000-02-20,13.8
51,2000-02-21,23.291667
52,2000-02-22,25.083333
53,2000-02-23,17.333333
54,2000-02-24,15.952381
55,2000-02-25,14.291667000000002
56,2000-02-26,12.541667
57,2000-02-27,13.5
58,2000-02-28,24.583333
59,2000-02-29,26.041667
60,2000-03-01,16.25
61,2000-03-02,16.285714000000002
62,2000-03-03,15.916667000000002
63,2000-03-04,13.541667000000002
64,2000-03-05,21.95
65,2000-03-06,28.0
66,2000-03-07,17.583333
67,2000-03-08,18.875
68,2000-03-09,16.761905
69,2000-03-10,14.375
70,2000-03-11,12.791667
71,2000-03-12,15.35
72,2000-03-13,22.916667
73,2000-03-14,21.65
74,2000-03-15,15.2
75,2000-03-16,19.6875
76,2000-03-17,14.5
77,2000-03-18,19.25
78,2000-03-19,14.95
79,2000-03-20,33.541667
80,2000-03-21,21.166667
81,2000-03-22,24.5
82,2000-03-23,22.142857
83,2000-03-24,19.25
84,2000-03-25,19.041667
85,2000-03-26,15.15
86,2000-03-27,17.208333
87,2000-03-28,27.5
88,2000-03-29,18.0
89,2000-03-30,13.666667000000002
90,2000-03-31,15.833332999999998
91,2000-04-01,16.583333
92,2000-04-02,7.4
93,2000-04-03,14.583332999999998
94,2000-04-04,15.291667000000002
95,2000-04-05,26.166667
96,2000-04-06,23.190476
97,2000-04-07,19.791667
98,2000-04-08,14.541667000000002
99,2000-04-09,14.15
100,2000-04-10,22.666667
101,2000-04-11,19.0
102,2000-04-12,22.666667
103,2000-04-13,13.047619
104,2000-04-14,15.166667000000002
105,2000-04-15,15.166667000000002
106,2000-04-16,11.6
107,2000-04-17,17.458333
108,2000-04-18,18.375
109,2000-04-19,14.916667000000002
110,2000-04-20,13.047619
111,2000-04-21,17.416667
112,2000-04-22,14.0
113,2000-04-23,9.05
114,2000-04-24,12.041667
115,2000-04-25,13.791667000000002
116,2000-04-26,23.916667
117,2000-04-27,21.157895
118,2000-04-28,16.0
119,2000-04-29,21.916667
120,2000-04-30,13.85
121,2000-05-01,20.833333
122,2000-05-02,19.916667
123,2000-05-03,20.0
124,2000-05-04,20.55
125,2000-05-05,17.916667
126,2000-05-06,11.833333
127,2000-05-07,8.1
128,2000-05-08,17.333333
129,2000-05-09,16.409091
130,2000-05-10,14.541667000000002
131,2000-05-11,9.0
132,2000-05-12,9.125
133,2000-05-13,10.666667
134,2000-05-14,7.7272729999999985
135,2000-05-15,22.041667
136,2000-05-16,30.583333000000003
137,2000-05-17,19.875
138,2000-05-18,13.666667000000002
139,2000-05-19,12.958333
140,2000-05-20,11.958333
141,2000-05-21,11.3
142,2000-05-22,12.666667
143,2000-05-23,11.708333
144,2000-05-24,10.0
145,2000-05-25,8.904762
146,2000-05-26,8.0
147,2000-05-27,7.75
148,2000-05-28,8.7
149,2000-05-29,11.291667
150,2000-05-30,13.25
151,2000-05-31,17.041667
152,2000-06-01,14.809524
153,2000-06-02,15.26087
154,2000-06-03,12.125
155,2000-06-04,9.8
156,2000-06-05,17.916667
157,2000-06-06,8.125
158,2000-06-07,12.458333
159,2000-06-08,13.590909
160,2000-06-09,15.833332999999998
161,2000-06-10,11.916667
162,2000-06-11,11.75
163,2000-06-12,20.958333
164,2000-06-13,17.541667
165,2000-06-14,16.25
166,2000-06-15,15.05
167,2000-06-16,15.375
168,2000-06-17,13.25
169,2000-06-18,12.6
170,2000-06-19,16.833333
171,2000-06-20,17.375
172,2000-06-21,11.863636
173,2000-06-22,10.428571
