,Date Local,NO2 Mean
0,2006-01-01,2.808696
1,2006-01-02,3.556522
2,2006-01-03,17.113636
3,2006-01-04,13.931818
4,2006-01-05,9.96087
5,2006-01-06,9.047826
6,2006-01-07,1.286957
7,2006-01-08,9.356522
8,2006-01-09,14.086957
9,2006-01-10,6.271429
10,2006-01-11,7.76
11,2006-01-12,7.813042999999999
12,2006-01-13,6.717391
13,2006-01-14,3.678261
14,2006-01-15,0.8260870000000001
15,2006-01-16,0.604348
16,2006-01-17,3.886364
17,2006-01-18,3.286957
18,2006-01-19,1.333333
19,2006-01-20,5.643478
20,2006-01-21,5.713043
21,2006-01-22,0.430435
22,2006-01-23,4.76087
23,2006-01-24,11.668182
24,2006-01-25,3.756522
25,2006-01-26,2.226087
26,2006-01-27,3.365217
27,2006-01-28,4.430435
28,2006-01-29,0.6869569999999999
29,2006-01-30,2.178261
30,2006-01-31,1.977273
31,2006-02-01,2.708696
32,2006-02-02,7.013636
33,2006-02-03,3.181818
34,2006-02-04,4.652174
35,2006-02-05,2.652174
36,2006-02-06,2.9521740000000003
37,2006-02-07,1.895455
38,2006-02-08,1.591304
39,2006-02-09,3.561111
40,2006-02-10,0.965217
41,2006-02-11,2.4
42,2006-02-12,2.682609
43,2006-02-13,0.669565
44,2006-02-14,2.481818
45,2006-02-15,6.66
46,2006-02-16,3.234783
47,2006-02-17,2.986957
48,2006-02-18,0.0
49,2006-02-19,0.3
50,2006-02-20,2.652174
51,2006-02-21,4.336364
52,2006-02-22,8.227273
53,2006-02-23,3.8
54,2006-02-24,2.704348
55,2006-02-25,0.495652
56,2006-02-26,0.0
57,2006-02-27,0.356522
58,2006-02-28,0.509091
59,2006-03-01,1.978261
60,2006-03-02,3.3478260000000004
61,2006-03-03,1.034783
62,2006-03-04,1.213043
63,2006-03-05,0.056522
64,2006-03-06,1.743478
65,2006-03-07,3.468182
66,2006-03-08,1.926087
67,2006-03-09,4.25
68,2006-03-10,2.138889
69,2006-03-11,0.53913
70,2006-03-12,2.7
71,2006-03-13,3.491304
72,2006-03-14,3.75
73,2006-03-15,0.465217
74,2006-03-16,0.634783
75,2006-03-17,1.1
76,2006-03-18,0.368182
77,2006-03-19,0.6409090000000001
78,2006-03-20,0.5954550000000001
79,2006-03-21,0.8875
80,2006-03-22,2.204545
81,2006-03-23,2.104545
82,2006-03-24,6.090909
83,2006-03-25,4.986364
84,2006-03-26,1.395455
85,2006-03-27,2.504545
86,2006-03-28,2.214286
87,2006-03-29,2.518182
88,2006-03-30,3.395455
89,2006-03-31,6.945455
90,2006-04-01,4.081818
91,2006-04-02,0.345455
92,2006-04-03,2.309091
93,2006-04-04,1.290476
94,2006-04-05,2.281818
95,2006-04-06,3.140909
96,2006-04-07,1.509524
97,2006-04-08,0.309091
98,2006-04-09,0.418182
99,2006-04-10,2.709091
100,2006-04-11,2.919048
101,2006-04-12,4.4954550000000015
102,2006-04-13,1.113636
103,2006-04-14,0.972727
104,2006-04-15,2.331818
105,2006-04-16,0.395455
106,2006-04-17,0.259091
107,2006-04-18,0.427778
108,2006-04-19,0.645455
109,2006-04-20,1.636364
110,2006-04-21,1.3454549999999998
111,2006-04-22,3.072727
112,2006-04-23,2.390909
113,2006-04-24,3.809091
114,2006-04-25,1.342857
115,2006-04-26,0.35
116,2006-04-27,0.8
117,2006-04-28,2.272727
118,2006-04-29,1.795455
119,2006-04-30,1.440909
120,2006-05-01,2.831818
121,2006-05-02,2.1333330000000004
122,2006-05-03,1.668182
123,2006-05-04,2.786364
124,2006-05-05,2.572727
125,2006-05-06,1.940909
126,2006-05-07,0.168182
127,2006-05-08,2.527273
128,2006-05-09,1.416667
129,2006-05-10,1.229167
130,2006-05-11,1.033333
131,2006-05-12,2.6125
132,2006-05-13,1.4125
133,2006-05-14,1.679167
134,2006-05-15,2.0125
135,2006-05-16,1.7125
136,2006-05-17,2.154167
137,2006-05-18,2.2833330000000003
138,2006-05-19,1.454167
139,2006-05-20,0.9
140,2006-05-21,0.741667
141,2006-05-22,0.691667
142,2006-06-28,0.495455
143,2006-06-29,0.718182
144,2006-06-30,1.765
145,2006-07-01,0.422727
146,2006-07-02,0.959091
147,2006-07-03,0.6727270000000001
148,2006-07-04,1.290909
149,2006-07-05,1.2
150,2006-07-06,0.959091
151,2006-07-07,1.228571
152,2006-07-08,0.931818
153,2006-07-09,0.722727
154,2006-07-10,1.85
155,2006-07-11,2.126316
156,2006-07-12,2.126667
