,Date Local,NO2 Mean
0,2001-04-01,17.416667
1,2001-04-02,24.863636
2,2001-04-03,28.958333000000003
3,2001-04-04,33.4
4,2001-04-05,36.291667
5,2001-04-06,45.181818
6,2001-04-07,16.791667
7,2001-04-08,21.363636
8,2001-04-09,27.583333000000003
9,2001-04-10,22.590909
10,2001-04-11,25.875
11,2001-04-12,29.958333000000003
12,2001-04-13,25.125
13,2001-04-14,14.5
14,2001-04-15,20.208333
15,2001-04-16,22.916667
16,2001-04-17,28.5
17,2001-04-18,21.375
18,2001-04-19,32.136364
19,2001-04-20,34.0
20,2001-04-21,22.666667
21,2001-04-22,13.863635999999998
22,2001-04-23,20.75
23,2001-04-24,20.55
24,2001-04-25,25.0
25,2001-04-26,26.136364
26,2001-04-27,29.958333000000003
27,2001-04-28,17.818182
28,2001-04-29,18.5
29,2001-04-30,38.5
30,2001-05-01,43.25
31,2001-05-02,45.272727
32,2001-05-03,40.833333
33,2001-05-04,36.0
34,2001-05-05,13.958332999999998
35,2001-05-06,12.818182
36,2001-05-07,26.958333000000003
37,2001-05-08,21.2
38,2001-05-09,22.583333
39,2001-05-10,35.857143
40,2001-05-11,33.916667
41,2001-05-12,26.0
42,2001-05-13,11.0
43,2001-05-14,18.545455
44,2001-05-15,17.875
45,2001-05-16,21.590909
46,2001-05-17,24.333333
47,2001-05-18,22.727273
48,2001-05-19,14.625
49,2001-05-20,11.5
50,2001-05-21,16.791667
51,2001-05-22,22.95
52,2001-05-23,23.125
53,2001-05-24,23.272727
54,2001-05-25,23.666667
55,2001-05-26,15.590909
56,2001-05-27,19.125
57,2001-05-28,18.272727
58,2001-05-29,24.25
59,2001-05-30,16.227273
60,2001-05-31,16.166667
61,2001-06-01,22.545455
62,2001-06-02,18.791667
63,2001-06-03,19.545455
64,2001-06-04,18.875
65,2001-06-05,19.25
66,2001-06-06,20.25
67,2001-06-07,22.545455
68,2001-06-08,33.666667
69,2001-06-09,24.136364
70,2001-06-10,22.583333
71,2001-06-11,35.227273
72,2001-06-12,24.916667
73,2001-06-13,32.181818
74,2001-06-14,26.333333000000003
75,2001-06-15,21.681818
76,2001-06-16,12.0
77,2001-06-17,12.818182
78,2001-06-18,22.416667
79,2001-06-19,24.05
80,2001-06-20,27.041667
81,2001-06-21,21.227273
82,2001-06-22,19.25
83,2001-06-23,14.272727
84,2001-06-24,11.333333
85,2001-06-25,20.772727
86,2001-06-26,25.208333
87,2001-06-27,28.375
88,2001-06-28,19.958333
89,2001-06-29,22.875
90,2001-06-30,15.041667000000002
91,2001-07-01,12.272727
92,2001-07-02,14.458332999999998
93,2001-07-03,21.0
94,2001-07-04,11.458333
95,2001-07-05,20.772727
96,2001-07-06,18.208333
97,2001-07-07,15.5
98,2001-07-08,12.583333
99,2001-07-09,23.227273
100,2001-07-10,27.75
101,2001-07-11,22.954545
102,2001-07-12,16.916667
103,2001-07-13,15.681818
104,2001-07-14,16.5
105,2001-07-15,13.863635999999998
106,2001-07-16,23.708333
107,2001-07-17,26.25
108,2001-07-18,20.666667
109,2001-07-19,21.272727
110,2001-07-20,26.916667
111,2001-07-21,20.0
112,2001-07-22,13.083333
113,2001-07-23,19.272727
114,2001-07-24,16.142857
115,2001-07-25,25.136364
116,2001-07-26,21.416667
117,2001-07-27,22.538462
118,2001-07-28,19.333333
119,2001-07-29,18.318182
120,2001-07-30,22.291667
121,2001-07-31,26.65
122,2001-08-01,28.833333000000003
123,2001-08-02,27.636364
124,2001-08-03,23.291667
125,2001-08-04,24.409091
126,2001-08-07,19.166667
127,2001-08-08,16.318182
128,2001-08-09,10.791667
129,2001-08-10,20.818182
130,2001-08-11,17.666667
131,2001-08-12,19.636364
132,2001-08-13,25.375
133,2001-08-14,25.8
134,2001-08-15,25.083333
135,2001-08-16,24.636364
136,2001-08-17,20.041667
137,2001-08-18,19.0
138,2001-08-19,19.875
139,2001-08-20,26.545455
140,2001-08-21,32.458333
141,2001-08-22,26.0
142,2001-08-23,33.5625
143,2001-08-24,22.0
144,2001-08-25,14.541667000000002
145,2001-08-26,12.0
146,2001-08-27,19.125
147,2001-08-28,22.9
148,2001-08-29,23.458333
149,2001-08-30,19.363636
150,2001-09-01,11.772727
151,2001-09-02,14.0
152,2001-09-03,14.0
153,2001-09-04,24.75
154,2001-09-05,17.5
155,2001-09-06,27.25
156,2001-09-07,28.5
157,2001-09-10,16.708333
158,2001-09-11,17.3
159,2001-09-12,22.875
160,2001-09-13,26.272727000000003
161,2001-09-14,19.5
162,2001-09-15,17.954545
163,2001-09-16,22.041667
164,2001-09-17,30.0
165,2001-09-18,31.772727000000003
166,2001-09-19,24.363636
167,2001-09-20,18.291667
168,2001-09-21,19.454545
169,2001-09-22,20.041667
170,2001-09-23,20.5
171,2001-09-24,23.916667
172,2001-09-25,17.25
173,2001-09-26,20.333333
174,2001-09-27,25.318182
175,2001-09-28,23.52381
176,2001-09-29,12.954545
177,2001-09-30,13.25
178,2001-10-01,26.318182
179,2001-10-02,32.333333
180,2001-10-03,30.136364
181,2001-10-04,27.791667
182,2001-10-05,27.590909000000003
183,2001-10-06,16.875
184,2001-10-07,14.363635999999998
185,2001-10-08,16.291667
186,2001-10-09,25.4
187,2001-10-10,32.25
188,2001-10-11,27.545455
