,Date Local,NO2 Mean
0,2011-01-01,0.041667
1,2011-01-02,8.791667
2,2011-01-03,11.916667
3,2011-01-04,19.625
4,2011-01-05,19.791667
5,2011-01-06,12.25
6,2011-01-07,3.291667
7,2011-01-08,11.041667
8,2011-01-09,32.833333
9,2011-01-10,9.083333
10,2011-01-11,4.25
11,2011-01-12,14.952381
12,2011-01-13,22.458333
13,2011-01-14,19.625
14,2011-01-15,4.25
15,2011-01-16,5.375
16,2011-01-17,9.083333
17,2011-01-18,0.916667
18,2011-01-19,11.0
19,2011-01-20,8.583333
20,2011-01-21,18.958333
21,2011-01-22,7.708333
22,2011-01-23,14.75
23,2011-01-24,12.0
24,2011-01-25,11.041667
25,2011-01-26,11.708333
26,2011-01-27,7.625
27,2011-01-28,9.708333
28,2011-01-29,1.166667
29,2011-01-30,0.875
30,2011-01-31,1.291667
31,2011-02-01,1.2
32,2011-02-03,7.916666999999999
33,2011-02-04,22.583333
34,2011-02-05,22.5
35,2011-02-06,4.375
36,2011-02-07,0.708333
37,2011-02-08,4.75
38,2011-02-09,9.833333
39,2011-02-10,31.375
40,2011-02-11,29.958333000000003
41,2011-02-12,18.791667
42,2011-02-13,7.375
43,2011-02-14,8.541667
44,2011-02-15,8.304348
45,2011-02-16,19.541667
46,2011-02-17,7.791666999999999
47,2011-02-18,0.791667
48,2011-02-19,1.25
49,2011-02-20,0.0
50,2011-02-21,1.5
51,2011-02-22,15.791667000000002
52,2011-02-23,3.833333
53,2011-02-24,0.416667
54,2011-02-25,1.791667
55,2011-02-26,16.166667
56,2011-02-27,17.333333
57,2011-02-28,20.4
58,2011-03-01,11.208333
59,2011-03-02,2.708333
60,2011-03-03,8.5
61,2011-03-04,5.318182
62,2011-03-05,5.8333330000000005
63,2011-03-06,14.75
64,2011-03-07,4.8333330000000005
65,2011-03-08,4.166667
66,2011-03-09,3.416667
67,2011-03-10,10.583333
68,2011-03-11,12.458333
69,2011-03-12,1.833333
70,2011-03-13,8.041667
71,2011-03-14,23.875
72,2011-03-15,18.5
73,2011-03-16,20.375
74,2011-03-17,13.227273
75,2011-03-18,5.2083330000000005
76,2011-03-19,12.083333
77,2011-03-20,6.416667
78,2011-03-21,4.7083330000000005
79,2011-03-22,0.958333
80,2011-03-23,1.125
81,2011-03-24,11.833333
82,2011-03-25,13.75
83,2011-03-26,4.791667
84,2011-03-27,7.958333
85,2011-03-28,16.875
86,2011-03-29,20.333333
87,2011-03-30,26.916667
88,2011-03-31,15.647059
89,2011-04-01,6.666667
90,2011-04-02,5.2083330000000005
91,2011-04-03,2.291667
92,2011-04-04,1.458333
93,2011-04-05,9.916667
94,2011-04-06,9.166667
