,Date Local,NO2 Mean
0,2001-10-01,3.173913
1,2001-10-02,6.7083330000000005
2,2001-10-03,3.458333
3,2001-10-04,3.916667
4,2001-10-05,4.541667
5,2001-10-06,1.666667
6,2001-10-07,0.0
7,2001-10-08,4.809524
8,2001-10-09,4.4583330000000005
9,2001-10-10,0.625
10,2001-10-11,13.541667000000002
11,2001-10-12,1.375
12,2001-10-13,8.041667
13,2001-10-14,1.541667
14,2001-10-15,12.608696
15,2001-10-16,13.833332999999998
16,2001-10-17,7.041667
17,2001-10-18,10.291667
18,2001-10-19,10.833333
19,2001-10-20,12.666667
20,2001-10-21,3.416667
21,2001-10-22,4.85
22,2001-10-23,6.4583330000000005
23,2001-10-24,2.458333
24,2001-10-25,8.75
25,2001-10-26,8.25
26,2001-10-27,11.333333
27,2001-10-28,1.041667
28,2001-10-29,6.75
29,2001-10-30,6.125
30,2001-10-31,4.75
31,2001-11-01,7.75
32,2001-11-02,7.75
33,2001-11-03,6.166667
34,2001-11-04,2.166667
35,2001-11-05,1.375
36,2001-11-06,7.583333
37,2001-11-07,4.291667
38,2001-11-08,0.208333
39,2001-11-09,3.125
40,2001-11-10,5.4583330000000005
41,2001-11-11,2.458333
42,2001-11-12,1.458333
43,2001-11-13,2.166667
44,2001-11-14,2.318182
45,2001-11-15,5.8333330000000005
46,2001-11-16,13.0
47,2001-11-17,8.083333
48,2001-11-18,5.416667
49,2001-11-19,4.772727
50,2001-11-20,9.958333
51,2001-11-21,16.833333
52,2001-11-22,2.5
53,2001-11-23,0.416667
54,2001-11-24,0.875
55,2001-11-25,0.25
56,2001-11-26,1.434783
57,2001-11-27,0.0
58,2001-11-28,2.875
59,2001-11-29,3.75
60,2001-11-30,6.25
61,2001-12-01,6.0
62,2001-12-02,1.0
63,2001-12-03,3.652174
64,2001-12-04,0.875
65,2001-12-05,6.375
66,2001-12-06,12.833333
67,2001-12-07,8.625
68,2001-12-08,1.833333
69,2001-12-09,2.583333
70,2001-12-10,6.0
71,2001-12-11,3.166667
72,2001-12-12,3.208333
73,2001-12-13,6.375
74,2001-12-14,5.4583330000000005
75,2001-12-15,1.5
76,2001-12-16,1.875
77,2001-12-17,12.954545
78,2001-12-18,16.916667
79,2001-12-19,19.083333
80,2001-12-20,14.833332999999998
81,2001-12-21,3.25
82,2001-12-22,8.708333
83,2001-12-23,2.083333
84,2001-12-24,1.25
85,2001-12-25,1.5
86,2001-12-26,9.208333
87,2001-12-27,20.416667
88,2001-12-28,16.791667
89,2001-12-29,6.7083330000000005
90,2001-12-30,7.208333
91,2001-12-31,2.5
92,2002-01-01,6.291667
93,2002-01-02,4.25
94,2002-01-03,3.625
95,2002-01-04,5.3333330000000005
96,2002-01-05,4.125
97,2002-01-06,14.333332999999998
98,2002-01-07,17.541667
99,2002-01-08,14.791667000000002
100,2002-01-09,12.956522
101,2002-01-10,0.0
102,2002-01-11,9.666667
103,2002-01-12,12.458333
104,2002-01-13,11.5
105,2002-01-14,8.541667
106,2002-01-15,1.916667
107,2002-01-16,2.541667
