,Date Local,NO2 Mean
0,2011-01-01,9.180952
1,2011-01-02,11.504762
2,2011-01-03,23.342857
3,2011-01-04,23.245455
4,2011-01-05,12.6375
5,2011-01-06,11.8
6,2011-01-07,18.716667
7,2011-01-08,21.6625
8,2011-01-09,22.3125
9,2011-01-10,9.958333
10,2011-01-11,19.241667
11,2011-01-12,32.58
12,2011-01-13,15.108332999999998
13,2011-01-14,23.075
14,2011-01-15,20.958333
15,2011-01-16,18.595833
16,2011-01-17,12.077778
17,2011-01-18,18.866667
18,2011-01-19,24.9125
19,2011-01-20,15.716667
20,2011-01-21,17.766667
21,2011-01-22,23.908333
22,2011-01-23,14.941667
23,2011-01-24,17.745832999999994
24,2011-01-25,29.204167
25,2011-01-26,25.225
26,2011-01-27,31.265217
27,2011-01-28,30.4
28,2011-01-29,25.329167
29,2011-01-30,28.966667
30,2011-01-31,16.394118
31,2011-02-01,6.620833
32,2011-02-02,7.058333
33,2011-02-03,19.408333
34,2011-02-04,29.570833
35,2011-02-05,21.8125
36,2011-02-06,8.708333
37,2011-02-07,20.025
38,2011-02-08,14.616667
39,2011-02-09,13.304167
40,2011-02-10,23.1625
41,2011-02-11,18.766667
42,2011-02-12,22.7875
43,2011-02-13,23.308333
44,2011-02-14,21.766667
45,2011-02-15,26.305556
46,2011-02-16,25.741667
47,2011-02-17,15.954167000000002
48,2011-02-18,21.491667
49,2011-02-19,14.066667
50,2011-02-20,5.775
51,2011-02-21,14.820833
52,2011-02-22,19.575
53,2011-02-23,22.108333
54,2011-02-24,12.533333
55,2011-02-25,17.404167
56,2011-02-26,13.808333
57,2011-02-27,14.079167000000002
58,2011-02-28,32.691666999999995
59,2011-03-01,27.654167
60,2011-03-02,25.891667
61,2011-03-03,20.495833
62,2011-03-04,15.029167
63,2011-03-05,12.966667
64,2011-03-06,10.1875
65,2011-03-07,12.495833
66,2011-03-08,10.2125
67,2011-03-09,9.6125
68,2011-03-10,23.120833
69,2011-03-11,25.483333
70,2011-03-12,21.033333
71,2011-03-13,8.979167
72,2011-03-14,16.404167
73,2011-03-15,19.1625
74,2011-03-16,6.3
75,2011-03-17,12.9
76,2011-03-18,14.75
77,2011-03-19,9.1125
78,2011-03-20,9.483333
79,2011-03-21,11.625
80,2011-03-22,8.116667
81,2011-03-23,21.1125
82,2011-03-24,21.170833
83,2011-03-25,18.966667
84,2011-03-26,7.570833
85,2011-03-27,6.891667
86,2011-03-28,13.555556
87,2011-03-29,10.516667
88,2011-03-30,6.7
89,2011-03-31,6.7708330000000005
90,2011-04-01,14.058333
91,2011-04-02,14.670832999999998
92,2011-04-03,5.2125
93,2011-04-04,5.841667
94,2011-04-05,15.104167000000002
95,2011-04-06,8.845833
96,2011-04-07,9.9625
97,2011-04-08,7.779167
98,2011-04-09,5.675
99,2011-04-10,5.061111
100,2011-04-11,16.020833
101,2011-04-12,24.916667
102,2011-04-13,9.276471
103,2011-04-14,7.566667
104,2011-04-15,9.904167
105,2011-04-16,13.416667000000002
106,2011-04-17,11.5125
