,Date Local,NO2 Mean
0,2008-01-01,2.458333
1,2008-01-02,14.0
2,2008-01-03,12.083333
3,2008-01-04,14.875
4,2008-01-05,8.833333
5,2008-01-06,11.333333
6,2008-01-07,15.761905
7,2008-01-08,8.904762
8,2008-01-09,15.083332999999998
9,2008-01-10,4.3333330000000005
10,2008-01-11,4.541667
11,2008-01-12,7.291666999999999
12,2008-01-13,7.25
13,2008-01-14,8.208333
14,2008-01-15,5.625
15,2008-01-16,1.166667
16,2008-01-17,15.0
17,2008-01-18,1.041667
18,2008-01-19,6.791667
19,2008-01-20,10.541667
20,2008-01-21,7.416666999999999
21,2008-01-22,3.380952
22,2008-01-23,5.904762
23,2008-01-24,12.428571
24,2008-01-25,19.625
25,2008-01-26,19.166667
26,2008-01-27,17.083333
27,2008-01-28,9.791667
28,2008-01-29,0.083333
29,2008-01-30,1.958333
30,2008-01-31,8.25
31,2008-02-01,9.041667
32,2008-02-02,6.5
33,2008-02-03,11.166667
34,2008-02-04,9.833333
35,2008-02-19,3.25
36,2008-02-20,10.208333
37,2008-02-21,12.625
38,2008-02-22,18.583333
39,2008-02-23,25.083333
40,2008-02-24,17.75
41,2008-02-25,5.2083330000000005
42,2008-02-26,4.291667
43,2008-02-27,14.916667000000002
44,2008-02-28,9.666667
45,2008-02-29,9.583333
46,2008-03-01,7.833333
47,2008-03-02,4.166667
48,2008-03-03,5.25
49,2008-03-04,6.047619
50,2008-03-05,1.636364
51,2008-03-06,9.083333
52,2008-03-07,10.583333
53,2008-03-08,4.666667
54,2008-03-09,12.666667
55,2008-03-10,14.083332999999998
56,2008-03-11,11.416667
57,2008-03-12,13.958332999999998
58,2008-03-13,2.291667
59,2008-03-14,3.375
60,2008-03-15,4.875
61,2008-03-16,6.3333330000000005
62,2008-03-17,7.666666999999999
63,2008-03-18,5.954545
64,2008-03-19,6.916667
65,2008-03-20,4.9583330000000005
66,2008-03-21,6.166667
67,2008-03-22,1.291667
68,2008-03-23,3.5
69,2008-03-24,5.4583330000000005
70,2008-03-25,3.833333
71,2008-03-26,2.75
72,2008-03-27,5.75
73,2008-03-28,13.125
74,2008-03-29,2.416667
75,2008-03-30,3.958333
76,2008-03-31,1.7619049999999998
77,2008-04-01,3.4090910000000005
78,2008-04-02,4.25
79,2008-04-03,6.375
80,2008-04-04,7.041667
81,2008-04-05,3.583333
82,2008-04-06,1.25
83,2008-04-07,7.708333
84,2008-04-08,14.208332999999998
85,2008-04-09,11.583333
86,2008-04-10,3.875
87,2008-04-11,1.291667
88,2008-04-12,2.666667
89,2008-04-13,5.5
90,2008-04-14,5.291667
91,2008-04-15,7.625
92,2008-04-16,3.190476
93,2008-04-17,10.0
