,Date Local,NO2 Mean
0,2009-04-08,2.456522
1,2009-04-09,9.16087
2,2009-04-10,4.708696
3,2009-04-11,1.043478
4,2009-04-12,1.708696
5,2009-04-13,4.291304
6,2009-04-14,3.343478
7,2009-04-15,3.030435
8,2009-04-16,4.752381
9,2009-04-17,4.1
10,2009-04-18,7.6826089999999985
11,2009-04-19,2.704348
12,2009-04-20,1.382609
13,2009-04-21,0.921739
14,2009-04-22,0.608696
15,2009-04-23,0.565217
16,2009-04-24,1.726087
17,2009-04-25,0.708696
18,2009-04-26,2.586957
19,2009-04-27,2.104545
20,2009-04-28,3.004348
21,2009-04-29,5.147826
22,2009-04-30,3.285714
23,2009-05-01,2.1565220000000003
24,2009-05-02,1.46087
25,2009-05-03,2.047826
26,2009-05-04,3.643478
27,2009-05-05,2.769565
28,2009-05-06,2.821739
29,2009-05-07,2.1
30,2009-05-08,2.813043
31,2009-05-09,1.226087
32,2009-05-10,1.530435
33,2009-05-11,3.047826
34,2009-05-12,3.813043
35,2009-05-13,3.095652
36,2009-05-14,3.915
37,2009-05-15,6.175
38,2009-05-16,2.943478
39,2009-05-17,2.1565220000000003
40,2009-05-18,5.708696
41,2009-05-19,7.391303999999999
42,2009-05-20,8.365217
43,2009-05-21,6.230435
44,2009-05-22,7.934783
45,2009-05-23,4.804348
46,2009-05-24,4.113043
47,2009-05-25,3.117391
48,2009-05-26,2.795652
49,2009-05-27,3.26087
50,2009-05-28,2.938095
51,2009-05-29,3.104348
52,2009-05-30,2.308696
53,2009-05-31,3.143478
54,2009-06-01,3.930435
55,2009-06-02,3.386957
56,2009-06-03,4.1391300000000015
57,2009-06-04,5.926087
58,2009-06-05,4.004348
59,2009-06-06,2.708696
60,2009-06-07,4.665217
61,2009-06-08,4.030435
62,2009-06-09,3.095238
63,2009-06-10,4.640909
64,2009-06-11,2.521739
65,2009-06-12,3.247826
66,2009-06-13,3.66087
67,2009-06-14,3.543478
68,2009-06-15,4.804348
69,2009-06-16,4.159091
70,2009-06-17,2.447059
71,2009-06-18,2.66087
72,2009-06-19,2.634783
73,2009-06-20,1.230435
74,2009-06-21,1.713043
75,2009-06-22,2.191304
76,2009-06-23,2.795455
77,2009-06-24,2.808696
78,2009-06-25,2.3347830000000003
79,2009-06-26,2.73913
80,2009-06-27,3.047826
81,2009-06-28,2.378261
82,2009-06-29,1.747826
83,2009-06-30,1.904348
84,2009-07-01,2.982609
85,2009-07-02,2.761905
86,2009-07-03,1.917391
87,2009-07-04,1.921739
88,2009-07-05,2.108696
89,2009-07-06,2.230435
90,2009-07-07,2.886364
91,2009-07-08,4.378261
92,2009-07-09,5.413043
93,2009-07-10,3.886957
94,2009-07-11,2.956522
95,2009-07-12,1.83913
96,2009-07-13,2.752174
97,2009-07-14,5.354545
98,2009-07-15,4.5478260000000015
99,2009-07-16,2.25
100,2009-07-17,2.4521740000000003
101,2009-07-18,1.513043
102,2009-07-19,2.6
103,2009-07-20,3.678261
104,2009-07-21,4.454545
105,2009-07-22,3.995652
106,2009-07-23,1.742105
107,2009-07-24,1.882609
108,2009-07-25,2.0
109,2009-07-26,0.96087
110,2009-07-27,1.286957
111,2009-07-28,2.85
112,2009-07-29,1.913636
113,2009-07-30,1.6
114,2009-07-31,1.234783
115,2009-08-01,1.943478
116,2009-08-02,0.743478
117,2009-08-03,1.56087
118,2009-08-04,2.821739
119,2009-08-05,2.082609
120,2009-08-06,2.756522
121,2009-08-07,2.795652
122,2009-08-08,2.695652
123,2009-08-09,1.278261
124,2009-08-10,2.117391
125,2009-08-11,2.743478
126,2009-08-12,4.940909
127,2009-08-13,3.721739
128,2009-08-14,5.25
129,2009-08-18,1.809091
130,2009-08-19,1.981818
131,2009-08-20,2.547619
132,2009-08-21,1.782609
133,2009-08-22,1.847826
134,2009-08-23,1.96087
135,2009-08-24,3.704348
136,2009-08-25,4.859091
137,2009-08-26,3.4347830000000004
138,2009-08-27,4.8
139,2009-08-28,3.5608699999999995
140,2009-08-29,1.608696
141,2009-08-30,1.817391
142,2009-08-31,2.969565
143,2009-09-01,2.8439389999999998
144,2009-09-02,4.4030795000000005
145,2009-09-03,4.979166500000001
146,2009-09-04,3.8833335
147,2009-09-05,4.9086955
148,2009-09-06,4.700362000000002
149,2009-09-07,3.1315215
150,2009-09-08,4.228261
151,2009-09-09,4.6141305
152,2009-09-10,4.0483695
153,2009-09-11,4.711050999999999
154,2009-09-12,2.8153985
155,2009-09-13,1.7891305
156,2009-09-14,5.4456525000000005
157,2009-09-15,3.5922100000000006
158,2009-09-16,3.8530794999999998
159,2009-09-17,4.431884
160,2009-09-18,3.652536
161,2009-09-19,3.1085144999999996
162,2009-09-20,3.7259055
163,2009-09-21,4.0353259999999995
164,2009-09-22,6.381818
165,2009-09-23,3.7884055000000005
166,2009-09-24,3.8989130000000007
167,2009-09-25,4.818116
168,2009-09-26,4.330435
169,2009-09-27,1.6769924999999999
170,2009-09-28,1.0999999999999999
171,2009-09-29,1.4242425
172,2009-09-30,2.0393120000000002
173,2009-10-01,6.2668479999999995
174,2009-10-02,4.5440214999999995
175,2009-10-03,2.2990945000000003
176,2009-10-04,1.6927534999999998
177,2009-10-05,4.0152175
178,2009-10-06,6.58447
179,2009-10-07,1.3902175
180,2009-10-08,7.0786229999999986
181,2009-10-09,3.8130435
182,2009-10-10,1.930435
183,2009-10-11,3.0086955
184,2009-10-12,7.1858695
185,2009-10-13,4.687352
186,2009-10-14,4.906884000000001
187,2009-10-15,4.8663045
188,2009-10-16,4.046212000000001
189,2009-10-17,2.52029
190,2009-10-18,2.285326
191,2009-10-19,6.316977
192,2009-10-20,5.303788000000001
193,2009-10-21,8.781703000000002
194,2009-10-22,8.0166665
195,2009-10-23,6.0394735
196,2009-10-24,0.8813404999999999
197,2009-10-25,4.809964000000001
198,2009-10-26,7.8407610000000005
199,2009-10-27,11.928622999999998
200,2009-10-28,4.1578065
201,2009-10-29,8.110688
202,2009-10-30,6.1277175
203,2009-10-31,0.722826
204,2009-11-01,2.939674
205,2009-11-02,6.241666500000001
206,2009-11-03,5.518561000000002
207,2009-11-04,12.745470999999998
208,2009-11-05,7.534057999999998
209,2009-11-06,8.939855000000001
210,2009-11-07,5.832065
211,2009-11-08,10.109058
212,2009-11-09,13.4
213,2009-11-10,15.170948499999998
214,2009-11-11,5.5125
215,2009-11-12,8.104924500000003
216,2009-11-13,11.664312
