,Date Local,NO2 Mean
0,2011-06-01,3.809524
1,2011-06-02,3.916667
2,2011-06-03,3.95
3,2011-06-04,4.291667
4,2011-06-05,4.3333330000000005
5,2011-06-06,6.047619
6,2011-06-07,6.5
7,2011-06-08,8.291667
8,2011-06-09,8.0
9,2011-06-10,3.75
10,2011-06-11,2.25
11,2011-06-12,1.791667
12,2011-06-13,3.6
13,2011-06-14,3.944444
14,2011-06-15,4.4583330000000005
15,2011-06-16,8.083333
16,2011-06-17,3.466667
17,2011-06-18,4.0833330000000005
18,2011-06-19,3.041667
19,2011-06-20,7.0
20,2011-06-21,6.0
21,2011-06-22,4.916667
22,2011-06-23,3.0
23,2011-06-24,2.95
24,2011-06-25,2.791667
25,2011-06-26,4.25
26,2011-06-27,4.3333330000000005
27,2011-06-28,5.55
28,2011-06-29,3.235294
29,2011-06-30,3.666667
30,2011-07-01,5.15
31,2011-07-02,4.291667
32,2011-07-03,3.458333
33,2011-07-04,4.0833330000000005
34,2011-07-05,6.291667
35,2011-07-06,9.916667
36,2011-07-07,5.2083330000000005
37,2011-07-08,3.9
38,2011-07-09,3.0
39,2011-07-10,5.666667
40,2011-07-11,4.571429
41,2011-07-12,3.5
42,2011-07-13,3.916667
43,2011-07-14,2.916667
44,2011-07-15,4.55
45,2011-07-16,5.666667
46,2011-07-17,4.3333330000000005
47,2011-07-18,6.47619
48,2011-07-19,6.409091
49,2011-07-20,6.7083330000000005
50,2011-07-21,3.708333
51,2011-07-22,5.9
52,2011-07-23,9.125
53,2011-07-24,4.2083330000000005
54,2011-07-25,4.095238
55,2011-07-26,5.391304
56,2011-07-27,5.291667
57,2011-07-28,5.416667
58,2011-07-29,3.95
59,2011-07-30,3.833333
60,2011-07-31,5.9583330000000005
61,2011-08-22,3.7
62,2011-08-23,4.25
63,2011-08-24,5.318182
64,2011-08-25,3.0
65,2011-08-26,6.190476
66,2011-08-27,4.625
67,2011-08-28,1.041667
68,2011-08-29,5.3333330000000005
69,2011-08-30,8.642857000000001
70,2011-08-31,9.5
71,2011-09-01,4.875
72,2011-09-02,3.0
73,2011-09-03,5.2083330000000005
74,2011-09-04,3.041667
75,2011-09-05,2.0
76,2011-09-06,2.583333
77,2011-09-07,3.166667
78,2011-09-08,5.541667
79,2011-09-09,6.55
80,2011-09-10,4.916667
81,2011-09-11,3.916667
82,2011-09-12,6.8333330000000005
83,2011-09-13,7.0
84,2011-09-14,6.3333330000000005
85,2011-09-15,2.142857
86,2011-09-16,4.8125
87,2011-09-17,4.2083330000000005
88,2011-09-18,4.291667
89,2011-09-19,5.428571
90,2011-09-20,10.166667
91,2011-09-21,7.833333
92,2011-09-22,4.291667
93,2011-09-23,4.4
94,2011-09-24,3.625
95,2011-09-25,5.4583330000000005
96,2011-09-26,7.583333
97,2011-09-27,5.916667
98,2011-09-28,1.958333
99,2011-09-29,3.791667
100,2011-09-30,6.173913
101,2011-10-01,3.708333
102,2011-10-02,2.708333
103,2011-10-03,5.1
104,2011-10-04,4.0
105,2011-10-05,2.909091
106,2011-10-06,6.875
107,2011-10-07,10.666667
108,2011-10-08,11.375
109,2011-10-09,7.375
110,2011-10-10,8.15
111,2011-10-11,6.791667
112,2011-10-12,3.583333
113,2011-10-13,5.666667
114,2011-10-14,3.583333
115,2011-10-15,5.416667
116,2011-10-16,3.208333
117,2011-10-17,5.25
118,2011-10-18,16.6
119,2011-10-19,7.526316
120,2011-10-20,3.818182
121,2011-10-21,8.208333
122,2011-10-22,5.416667
123,2011-10-23,7.791666999999999
124,2011-10-24,8.428571
125,2011-10-25,4.875
126,2011-10-26,11.875
127,2011-10-27,10.041667
128,2011-10-28,7.3
129,2011-10-29,7.458333
130,2011-10-30,5.9583330000000005
131,2011-10-31,18.142857
132,2012-03-01,6.209091
133,2012-03-02,6.771429
134,2012-03-03,9.633333
135,2012-03-04,7.5625
136,2012-03-05,3.968182
137,2012-03-06,7.9625
138,2012-03-07,7.8125
139,2012-03-08,3.4458330000000004
140,2012-03-09,3.81
141,2012-03-10,6.2125
142,2012-03-11,11.295833
143,2012-03-12,17.573684
144,2012-03-13,6.558333
145,2012-03-14,5.073684
146,2012-03-15,2.9588240000000003
147,2012-03-16,9.84
148,2012-03-17,10.608333
149,2012-03-18,7.275
150,2012-03-19,11.404545
151,2012-03-20,10.0375
152,2012-03-21,8.3375
153,2012-03-22,7.8375
154,2012-04-06,6.409091
155,2012-04-07,4.008333
156,2012-04-08,4.095833
157,2012-04-09,4.186364
158,2012-04-10,7.2
159,2012-04-11,10.995833
160,2012-04-12,7.4875
161,2012-04-13,7.5
162,2012-04-14,4.483333
163,2012-04-15,6.245833
164,2012-04-16,6.404545
165,2012-04-17,4.058333
166,2012-04-18,2.8875
167,2012-04-19,4.954167
168,2012-04-20,4.62
169,2012-04-21,2.8
170,2012-04-22,1.958333
171,2012-04-23,2.571429
172,2012-04-24,2.983333
173,2012-04-25,6.9375
174,2012-04-26,4.5208330000000005
175,2012-04-27,1.79
176,2012-04-28,2.558333
177,2012-04-29,3.558333
178,2012-04-30,5.7454550000000015
179,2012-05-01,4.025
180,2012-05-02,3.066667
181,2012-05-03,4.1304349999999985
182,2012-05-04,6.175
183,2012-05-05,4.983333
184,2012-05-06,3.13913
185,2012-05-07,6.814286
186,2012-05-08,3.5958330000000003
187,2012-05-09,4.6625
188,2012-05-10,3.0958330000000003
189,2012-05-11,3.025
190,2012-05-12,5.354167
191,2012-05-13,7.943478
192,2012-05-14,4.55
193,2012-05-15,2.7
194,2012-05-16,3.758333
195,2012-05-17,3.165217
196,2012-05-18,6.925
197,2012-05-19,6.254167
198,2012-05-20,5.152174
199,2012-05-21,3.268182
200,2012-05-22,3.1583330000000003
201,2012-05-23,4.045833
202,2012-05-24,4.365217
203,2012-06-06,6.068182
204,2012-06-07,6.875
205,2012-06-08,6.165
206,2012-06-09,6.2933330000000005
207,2012-06-10,3.925
208,2012-06-11,3.318182
209,2012-06-12,2.06
210,2012-06-13,3.2125
211,2012-06-14,4.033333
212,2012-06-15,6.065
213,2012-06-16,4.1
214,2012-06-17,1.145833
215,2012-06-18,2.413636
216,2012-06-19,4.058333
217,2012-06-20,4.683333
218,2012-06-21,4.625
219,2012-06-22,6.025
220,2012-06-23,3.716667
221,2012-06-24,2.4458330000000004
222,2012-06-25,5.531818
223,2012-06-26,2.5
224,2012-06-27,3.691667
225,2012-06-28,3.891667
226,2012-06-29,7.725
227,2012-06-30,4.8
228,2012-07-01,5.304167
229,2012-07-02,6.027273
230,2012-07-03,4.829167
231,2012-07-04,3.85
232,2012-07-05,3.620833
233,2012-07-06,4.555
234,2012-07-07,4.0375
235,2012-07-08,2.6875
236,2012-07-09,4.7454550000000015
237,2012-07-10,6.108333
238,2012-07-11,6.341667
239,2012-07-12,4.9625
240,2012-07-13,5.185
241,2012-07-14,4.075
242,2012-07-15,5.15
243,2012-07-16,6.213636
244,2012-07-17,6.225
245,2012-07-18,7.533333
246,2012-07-19,4.070833
247,2012-07-20,5.745
248,2012-07-21,4.525
249,2012-07-22,3.625
250,2012-07-23,4.671429
251,2012-07-24,3.729167
252,2012-07-25,4.169565
253,2012-07-26,8.154167
254,2012-07-27,6.68
255,2012-07-28,3.479167
256,2012-07-29,1.8125
257,2012-07-30,5.4
258,2012-07-31,4.5833330000000005
259,2012-08-01,5.504167
260,2012-08-02,4.891667
261,2012-08-03,5.75
262,2012-08-04,4.033333
263,2012-08-05,1.781818
264,2012-08-06,4.077273
265,2012-08-07,5.891667
266,2012-08-08,6.508333
267,2012-08-09,5.170833
268,2012-08-10,2.56
269,2012-08-11,3.395833
270,2012-08-12,2.691667
271,2012-08-13,3.854545
272,2012-08-14,4.616667
273,2012-08-15,4.7375
274,2012-08-16,6.038094999999998
275,2012-08-17,6.46
276,2012-08-18,4.825
277,2012-08-19,3.0083330000000004
278,2012-08-20,7.159091
279,2012-08-21,6.7125
280,2012-08-22,8.491667
281,2012-08-23,6.470833
282,2012-08-24,6.152941
283,2012-08-25,2.554167
284,2012-08-26,3.5875
285,2012-08-27,4.7409089999999985
286,2012-08-28,4.504167
287,2012-08-29,5.916667
288,2012-08-30,7.325
289,2012-08-31,8.235
290,2012-09-01,3.316667
291,2012-09-02,3.229167
292,2012-09-03,3.290909
293,2012-09-04,3.829167
294,2012-09-05,2.014286
295,2012-09-12,5.1875
296,2012-09-13,5.154167
297,2012-09-14,4.415
298,2012-09-15,2.45
299,2012-09-16,3.4708330000000003
300,2012-09-21,3.953846
301,2012-09-22,3.015
302,2012-09-23,2.2625
303,2012-09-24,6.829412
304,2012-09-25,5.731818
305,2012-09-26,2.604167
306,2012-09-27,4.047619
307,2012-09-28,2.657895
308,2012-09-29,2.1133330000000004
309,2012-09-30,3.629167
310,2012-10-01,6.57
311,2012-10-02,10.608333
312,2012-10-03,6.854167
313,2012-10-04,9.525
314,2012-10-05,10.285
315,2012-10-06,5.404167
316,2012-10-07,4.5625
317,2012-10-08,5.268182
318,2012-10-09,3.966667
319,2012-10-10,7.404167
320,2012-10-11,7.0090910000000015
321,2012-10-12,7.65
322,2012-10-13,6.725
323,2012-10-14,4.658333
324,2012-10-15,4.290909
325,2012-10-16,4.3
326,2012-10-17,11.004167
327,2012-10-18,9.025
328,2012-10-19,4.76
329,2012-10-20,5.079167
330,2012-10-21,5.233333
331,2012-10-22,5.659091
332,2012-10-23,11.904167
333,2012-10-24,9.56875
334,2012-10-25,11.045833
335,2012-10-26,12.338889
336,2012-10-27,8.554167
337,2012-10-28,1.875
338,2012-10-29,1.442857
339,2012-10-30,3.670833
340,2012-10-31,7.804347999999999
341,2012-11-01,11.954167
342,2012-11-02,6.194444
343,2012-11-03,2.8458330000000003
344,2012-11-04,4.320833
345,2012-11-05,5.92381
346,2012-11-06,15.608332999999998
347,2012-11-07,9.225
348,2012-11-08,4.7
349,2012-11-09,7.195
350,2012-11-10,12.458333
351,2012-11-11,12.158333
352,2012-11-12,6.75
353,2012-11-13,5.658333
354,2012-11-14,10.7875
355,2012-11-15,11.404167
356,2012-11-16,16.22
357,2012-11-17,13.5375
358,2012-11-18,14.3375
359,2012-11-19,22.578571
360,2012-12-04,15.088889000000002
361,2012-12-05,3.729167
362,2012-12-06,12.408333
363,2012-12-07,24.135
364,2012-12-08,13.358332999999998
365,2012-12-09,9.270833
366,2012-12-10,10.818182
367,2012-12-11,5.479167
368,2012-12-12,13.870833
369,2012-12-13,21.725
370,2012-12-14,20.09
371,2012-12-15,9.586667
372,2012-12-16,6.204167
373,2012-12-17,14.168182
374,2012-12-18,14.583332999999998
375,2012-12-19,4.0125
376,2012-12-20,9.179167
377,2012-12-21,5.683333
378,2012-12-22,4.035
379,2012-12-23,7.333333
380,2012-12-24,17.904545000000006
381,2012-12-25,12.8
382,2012-12-26,10.066667
383,2012-12-27,4.25
384,2012-12-28,6.594444
385,2012-12-29,17.554167
386,2012-12-30,3.35
387,2012-12-31,11.790909
388,2013-01-01,6.566667
389,2013-01-02,8.270833
390,2013-01-03,11.23913
391,2013-01-04,13.265
392,2013-01-05,16.270833
393,2013-01-06,24.55
394,2013-01-07,17.404545000000002
395,2013-01-08,25.429167
396,2013-01-09,29.166667
397,2013-01-10,9.570833
398,2013-01-11,22.76
399,2013-01-12,11.625
400,2013-01-13,10.808333
401,2013-01-14,6.631579
402,2013-01-15,12.9125
403,2013-01-16,20.641667
404,2013-01-17,9.591667
405,2013-01-18,8.4
406,2013-01-19,8.370833
407,2013-01-20,4.125
408,2013-01-21,6.227273
409,2013-01-22,7.433333
410,2013-01-23,5.679167
411,2013-01-24,6.859091
412,2013-01-25,8.99
413,2013-01-26,3.82
414,2013-01-27,5.55
415,2013-01-28,18.37
416,2013-01-29,21.616667
417,2013-01-30,10.2375
418,2013-01-31,3.1875
419,2013-02-01,4.56
420,2013-02-02,6.875
421,2013-02-03,8.175
422,2013-02-04,8.072727
423,2013-02-05,10.979167
424,2013-02-06,13.3125
425,2013-02-07,10.1875
426,2013-02-08,4.16
427,2013-02-09,4.116667
428,2013-02-10,19.708333
429,2013-02-11,24.345455
430,2013-02-12,8.945833
431,2013-02-13,13.8625
432,2013-02-14,19.116667
433,2013-02-15,17.72
434,2013-02-16,11.458333
435,2013-02-17,2.8833330000000004
436,2013-02-18,4.6272730000000015
437,2013-02-19,18.341667
438,2013-02-20,4.9625
439,2013-02-21,5.533333
440,2013-02-25,14.66
441,2013-02-26,12.429167
442,2013-02-27,4.8333330000000005
443,2013-02-28,12.941667
444,2013-03-01,7.82
445,2013-03-02,4.2708330000000005
446,2013-03-03,3.0083330000000004
447,2013-03-04,3.244444
448,2013-03-05,7.5
449,2013-03-06,6.2375
450,2013-03-07,4.504167
451,2013-03-08,6.81
452,2013-03-09,7.641667
453,2013-03-10,7.925
454,2013-03-11,5.522727
455,2013-03-12,4.4875
456,2013-03-13,5.783333
457,2013-03-14,4.695833
458,2013-03-15,6.755
459,2013-03-16,5.820833
460,2013-03-17,7.0375
461,2013-03-18,5.35
462,2013-03-19,4.595833
463,2013-03-21,15.504348
464,2013-03-22,3.89
465,2013-03-23,3.391667
466,2013-03-24,4.408333
467,2013-03-25,9.965
468,2013-03-26,5.525
