,Date Local,NO2 Mean
0,2003-02-26,4.52381
1,2003-02-27,6.3333330000000005
2,2003-02-28,4.2083330000000005
3,2003-03-01,1.75
4,2003-03-02,3.208333
5,2003-03-03,3.619048
6,2003-03-04,2.541667
7,2003-03-05,4.3333330000000005
8,2003-03-06,3.708333
9,2003-03-07,5.0
10,2003-03-08,3.416667
11,2003-03-09,3.5
12,2003-03-10,4.375
13,2003-03-11,2.043478
14,2003-03-12,2.647059
15,2003-03-13,2.5
16,2003-03-14,4.625
17,2003-03-15,5.2083330000000005
18,2003-03-16,6.0833330000000005
19,2003-03-17,3.166667
20,2003-03-18,1.083333
21,2003-03-19,1.791667
22,2003-03-20,1.5
23,2003-03-21,2.75
24,2003-03-22,4.8333330000000005
25,2003-03-23,5.3333330000000005
26,2003-03-24,4.85
27,2003-03-25,1.958333
28,2003-03-26,2.541667
29,2003-03-27,2.666667
30,2003-03-28,1.208333
31,2003-03-29,1.333333
32,2003-03-30,2.416667
33,2003-03-31,2.625
34,2003-04-01,4.166667
35,2003-04-02,3.625
36,2003-04-03,3.25
37,2003-04-04,2.916667
38,2003-04-05,2.666667
39,2003-04-06,2.416667
40,2003-04-07,1.958333
41,2003-04-08,5.291667
42,2003-04-09,2.5789470000000003
43,2003-04-10,5.8333330000000005
44,2003-04-11,6.666667
45,2003-04-12,3.833333
46,2003-04-13,3.375
47,2003-04-14,1.541667
48,2003-04-15,1.541667
49,2003-04-16,0.913043
50,2003-04-17,0.916667
51,2003-04-18,0.416667
52,2003-04-19,1.166667
53,2003-04-20,2.791667
54,2003-04-21,2.25
55,2003-04-22,3.75
56,2003-04-23,3.958333
57,2003-04-24,3.75
58,2003-04-25,0.416667
59,2003-04-26,0.708333
60,2003-04-27,0.541667
61,2003-04-28,0.125
62,2003-04-29,0.208333
63,2003-04-30,1.0
64,2003-05-01,0.0
65,2003-05-02,0.708333
66,2003-05-03,1.583333
67,2003-05-04,0.041667
68,2003-05-05,0.0
69,2003-05-06,0.047619
70,2003-05-07,0.375
71,2003-05-11,1.75
72,2003-05-12,2.958333
73,2003-05-13,4.291667
74,2003-05-14,3.416667
75,2003-05-15,2.166667
76,2003-05-16,2.125
77,2003-05-17,1.125
78,2003-05-18,0.75
79,2003-05-19,5.416667
80,2003-05-20,1.75
81,2003-05-21,1.041667
82,2003-05-22,0.9
83,2003-05-23,1.714286
84,2003-05-24,1.0
85,2003-05-25,0.857143
86,2003-05-26,1.5714290000000002
87,2003-05-27,2.714286
88,2003-06-25,2.538462
89,2003-06-26,3.0
90,2003-06-27,2.125
91,2003-06-28,0.291667
92,2003-06-29,1.041667
93,2003-06-30,1.541667
94,2003-07-01,2.125
95,2003-07-02,0.583333
96,2003-07-03,1.380952
97,2003-07-04,1.125
98,2003-07-05,1.291667
99,2003-07-06,0.25
100,2003-07-07,0.166667
101,2003-07-08,2.083333
102,2003-07-09,2.083333
103,2003-07-10,2.166667
104,2003-07-11,1.375
105,2003-07-12,1.333333
106,2003-07-13,0.875
107,2003-07-14,0.416667
108,2003-07-15,1.25
109,2003-07-16,3.5
110,2006-01-12,2.6
111,2006-01-13,1.458333
112,2006-01-14,3.5
113,2006-01-15,2.916667
114,2006-01-16,4.666667
115,2006-01-17,2.791667
116,2006-01-18,3.125
117,2006-01-19,5.5833330000000005
118,2006-01-20,2.333333
119,2006-01-21,1.791667
120,2006-01-22,1.5
121,2006-01-23,1.5
122,2006-01-24,5.625
123,2006-01-25,4.041667
124,2006-01-26,2.75
125,2006-01-27,3.791667
126,2006-01-28,1.458333
127,2006-01-29,0.958333
128,2006-01-30,2.75
129,2006-01-31,3.708333
130,2006-02-01,4.0
131,2006-02-02,0.875
132,2006-02-03,1.916667
133,2006-02-04,2.166667
