,Date Local,NO2 Mean
0,2011-01-01,5.25
1,2011-01-02,8.5875
2,2011-01-03,8.229167
3,2011-01-04,14.8125
4,2011-01-05,9.761905
5,2011-01-06,8.359091000000001
6,2011-01-10,8.095833
7,2011-01-11,7.079167
8,2011-01-12,11.229167
9,2011-01-19,16.466667
10,2011-01-20,8.904347999999997
11,2011-01-21,10.383333
12,2011-01-22,6.033333
13,2011-01-23,12.416667
14,2011-01-24,10.391667
15,2011-01-25,11.820833
16,2011-01-26,15.886957
17,2011-01-27,13.3
18,2011-01-28,11.258333
19,2011-01-29,3.933333
20,2011-01-30,3.995833
21,2011-01-31,8.458333
22,2011-02-01,4.413043
23,2011-02-02,9.504167
24,2011-02-03,10.979167
25,2011-02-04,15.733332999999998
26,2011-02-05,19.891667
27,2011-02-06,4.945833
28,2011-02-07,5.516667
29,2011-02-08,9.466667
30,2011-02-09,10.021739
31,2011-02-10,12.995833
32,2011-02-11,9.6
33,2011-02-12,7.3625
34,2011-02-13,3.854167
35,2011-02-14,5.829167
36,2011-02-15,10.045833
37,2011-02-16,7.456522
38,2011-02-17,7.429167
39,2011-02-18,4.9625
40,2011-02-19,4.15
41,2011-02-20,5.741667
42,2011-02-21,6.0375
43,2011-02-22,11.683333
44,2011-02-23,8.030435
45,2011-02-24,5.745833
46,2011-02-25,4.420833
47,2011-02-26,6.4
48,2011-02-27,6.941667
49,2011-02-28,11.352174
50,2011-03-01,7.254167
51,2011-03-02,4.2375
52,2011-03-03,9.2375
53,2011-03-04,6.308333
54,2011-03-05,5.241667
55,2011-03-06,5.441667
56,2011-03-07,5.6625
57,2011-03-08,7.966667
58,2011-03-09,9.226087
59,2011-03-10,10.490909
60,2011-03-11,5.670833
61,2011-03-12,4.483333
62,2011-03-13,4.541667
63,2011-03-14,5.35
64,2011-03-15,9.0375
65,2011-03-16,6.041667
66,2011-03-17,7.686957
67,2011-03-18,7.745833
68,2011-03-19,3.875
69,2011-03-20,4.5875
70,2011-03-21,7.404167
71,2011-03-22,5.220833
72,2011-03-23,4.569565
73,2011-03-24,5.2
74,2011-03-25,5.204167
75,2011-03-26,4.6375
76,2011-03-27,3.5333330000000003
77,2011-03-28,4.65
78,2011-03-29,7.26087
79,2011-03-30,10.008333
80,2011-03-31,8.204167
81,2011-04-01,7.204167
82,2011-04-02,6.266667
83,2011-04-03,4.554167
84,2011-04-04,6.436364
85,2011-04-05,5.775
86,2011-04-06,9.091667
87,2011-04-07,5.2125
88,2011-04-08,5.170833
89,2011-04-09,4.954167
90,2011-04-10,4.2125
91,2011-04-11,10.345833
92,2011-04-12,7.814286
93,2011-04-13,4.6125
94,2011-04-14,4.2125
95,2011-04-15,4.7375
96,2011-04-16,3.604167
97,2011-04-17,3.916667
98,2011-04-18,5.216667
99,2011-04-19,4.3625
100,2011-04-20,9.721739
101,2011-04-21,4.754167
102,2011-04-22,5.854167
103,2011-04-23,6.370833
104,2011-04-24,7.808333
105,2011-04-25,9.675
106,2011-04-26,3.991667
107,2011-04-27,4.466667
108,2011-04-28,7.5625
109,2011-04-29,4.530435
110,2011-04-30,3.1
111,2011-05-01,2.0708330000000004
112,2011-05-02,5.15
113,2011-05-03,8.645833
114,2011-05-04,4.529167
115,2011-05-05,6.056522
116,2011-05-06,5.095833
117,2011-05-07,6.325
118,2011-05-08,3.2208330000000003
119,2011-05-09,5.291667
120,2011-05-10,5.7708330000000005
121,2011-05-11,4.991667
122,2011-05-12,3.336364
123,2011-05-13,2.9083330000000003
124,2011-05-14,2.575
125,2011-05-15,3.725
126,2011-05-16,7.775
127,2011-05-17,7.775
128,2011-05-18,7.2
129,2011-05-19,5.154167
130,2011-05-20,4.75
131,2011-05-21,3.491667
132,2011-05-22,3.066667
133,2011-05-23,4.425
134,2011-05-24,3.883333
135,2011-05-25,3.304167
136,2011-05-26,4.517391
137,2011-05-27,4.191667
138,2011-05-28,5.633333
139,2011-05-29,4.370833
140,2011-05-30,2.770833
141,2011-05-31,3.4875
142,2011-06-01,6.941667
143,2011-06-02,4.091304
144,2011-06-03,8.179167
145,2011-06-04,9.241667
146,2011-06-05,5.225
147,2011-06-06,9.2625
148,2011-06-07,6.866667
149,2011-06-08,3.866667
150,2011-06-09,4.173913
151,2011-06-10,5.029167
152,2011-06-11,4.508333
153,2011-06-12,2.7125
154,2011-06-13,3.6625
155,2011-06-14,5.975
156,2011-06-15,4.386364
157,2011-06-16,7.720833
158,2011-06-17,4.245833
159,2011-06-18,5.4875
160,2011-06-19,3.95
161,2011-06-20,2.754167
162,2011-06-21,2.941667
163,2011-06-22,2.029167
164,2011-06-23,5.436364
165,2011-06-24,7.291666999999999
166,2011-06-25,2.6875
167,2011-06-26,2.458333
168,2011-06-27,3.0333330000000003
169,2011-06-28,5.378261
170,2011-06-29,3.936364
171,2011-06-30,6.058333
172,2011-07-01,5.35
173,2011-07-02,4.6875
174,2011-07-03,2.679167
175,2011-07-04,2.7208330000000003
176,2011-07-05,3.5375
177,2011-07-06,4.6875
178,2011-07-07,7.731818
179,2011-07-08,6.791667
180,2011-07-09,3.233333
181,2011-07-10,2.5958330000000003
182,2011-07-11,3.8
183,2011-07-12,3.3125
184,2011-07-13,4.613043
185,2011-07-14,3.3833330000000004
186,2011-07-15,3.654167
187,2011-07-16,2.825
188,2011-07-17,2.616667
189,2011-07-18,4.554167
190,2011-07-19,3.658333
191,2011-07-20,4.2
192,2011-07-21,3.6625
193,2011-07-22,3.8375
194,2011-07-23,2.2375
195,2011-07-24,1.7208330000000005
196,2011-07-25,3.425
197,2011-07-26,3.591667
198,2011-07-27,4.829167
199,2011-07-28,5.2125
200,2011-07-29,5.58
201,2011-07-30,3.041667
202,2011-07-31,2.704167
203,2011-08-01,3.482609
204,2011-08-02,3.0625
205,2011-08-03,5.433333
206,2011-08-04,4.033333
207,2011-08-05,3.816667
208,2011-08-06,2.958333
209,2011-08-07,2.35
210,2011-08-08,4.0
211,2011-08-09,4.0208330000000005
212,2011-08-10,7.616667
213,2011-08-11,3.9125
214,2011-08-12,3.983333
215,2011-08-13,3.75
216,2011-08-14,5.691667
217,2011-08-15,3.0125
218,2011-08-16,6.0833330000000005
219,2011-08-17,4.7625
220,2011-08-18,5.591667
221,2011-08-19,4.7
222,2011-08-20,3.8625
223,2011-08-21,5.075
224,2011-08-22,3.279167
225,2011-08-23,6.0
226,2011-08-24,5.008333
227,2011-08-25,7.5304350000000015
228,2011-08-26,4.4875
229,2011-08-27,5.1375
230,2011-08-28,3.079167
231,2011-08-29,4.6458330000000005
232,2011-08-30,3.291304
233,2011-08-31,3.183333
234,2011-09-01,3.9875
235,2011-09-02,3.441667
236,2011-09-03,3.4
237,2011-09-04,3.4458330000000004
238,2011-09-05,4.658333
239,2011-09-06,3.109524
240,2011-09-07,6.7708330000000005
241,2011-09-08,9.804167
242,2011-09-09,5.986957
243,2011-09-10,8.958333
244,2011-09-11,7.616667
245,2011-09-12,2.991667
246,2011-09-13,3.816667
247,2011-09-14,2.545455
248,2011-09-15,5.541667
249,2011-09-16,3.0708330000000004
250,2011-09-17,2.420833
251,2011-09-18,4.570833
252,2011-09-19,8.095455000000001
253,2011-09-20,2.8833330000000004
254,2011-09-21,2.754167
255,2011-09-22,8.070833
256,2011-09-23,10.054167
257,2011-09-24,4.654167
258,2011-09-25,4.858333
259,2011-09-26,5.891667
260,2011-09-27,13.9
261,2011-09-28,18.65
262,2011-09-29,2.829167
263,2011-09-30,8.16087
264,2011-10-01,3.4708330000000003
265,2011-10-02,3.520833
266,2011-10-03,5.2708330000000005
267,2011-10-04,5.191667
268,2011-10-05,4.104167
269,2011-10-06,3.733333
270,2011-10-07,2.8
271,2011-10-08,4.504167
272,2011-10-09,2.9875
273,2011-10-10,3.266667
274,2011-10-11,4.966667
275,2011-10-12,7.0833330000000005
276,2011-10-13,4.379167
277,2011-10-14,3.904348
278,2011-10-15,6.420833
279,2011-10-16,3.245833
280,2011-10-17,7.6875
281,2011-10-18,5.095833
282,2011-10-19,5.175
283,2011-10-20,11.852174
284,2011-10-21,11.3375
285,2011-10-22,11.258333
286,2011-10-23,8.433333
287,2011-10-24,11.4375
288,2011-10-25,4.665217
289,2011-10-26,7.195833
290,2011-10-27,11.625
291,2011-10-28,7.8
292,2011-10-29,12.1125
293,2011-10-30,6.233333
294,2011-10-31,12.3625
295,2011-11-01,7.1
296,2011-11-02,4.441667
297,2011-11-03,14.833332999999998
298,2011-11-04,4.991667
299,2011-11-05,4.025
300,2011-11-06,4.195833
301,2011-11-07,10.645833
302,2011-11-08,8.65
303,2011-11-09,7.029167
304,2011-11-10,7.947825999999999
305,2011-11-11,10.795833
306,2011-11-12,5.3875
307,2011-11-13,6.925
308,2011-11-14,10.445833
309,2011-11-15,5.829167
310,2011-11-16,7.6
311,2011-11-17,11.856522
312,2011-11-18,5.604167
313,2011-11-19,2.358333
314,2011-11-20,4.158333
315,2011-11-21,5.620833
316,2011-11-22,9.508696
317,2011-11-23,10.5375
318,2011-11-24,5.25
319,2011-11-25,7.404167
320,2011-11-26,2.875
321,2011-11-27,9.529167
