,Date Local,NO2 Mean
0,2002-04-05,3.4782610000000003
1,2002-04-06,8.434783
2,2002-04-07,5.173913
3,2002-04-08,2.695652
4,2002-04-09,3.363636
5,2002-04-10,5.478261
6,2002-04-11,4.391304
7,2002-04-12,5.8695650000000015
8,2002-04-13,3.3478260000000004
9,2002-04-14,2.565217
10,2002-04-15,4.478261
11,2002-04-16,4.782609
12,2002-04-17,6.043478
13,2002-04-18,3.782609
14,2002-04-19,6.347826
15,2002-04-20,6.043478
16,2002-04-21,3.043478
17,2002-04-22,2.869565
18,2002-04-23,6.6521740000000005
19,2002-04-24,7.73913
20,2002-04-25,2.4347830000000004
21,2002-04-26,6.565217
22,2002-04-27,4.826087
23,2002-04-28,2.565217
24,2002-04-29,4.0
25,2002-04-30,6.73913
26,2002-05-01,3.2391305
27,2002-05-02,2.5434780000000003
28,2002-05-03,4.9565220000000005
29,2002-05-04,3.717391
30,2002-05-05,1.847826
31,2002-05-06,3.6086954999999996
32,2002-05-07,3.1739130000000007
33,2002-05-08,2.6739130000000007
34,2002-05-09,3.1739135000000003
35,2002-05-10,2.956522
36,2002-05-11,1.2826089999999999
37,2002-05-12,1.1304350000000003
38,2002-05-13,1.326087
39,2002-05-14,3.1086954999999996
40,2002-05-15,2.5652175
41,2002-05-16,4.304348000000001
42,2002-05-17,3.5
43,2002-05-18,1.326087
44,2002-05-19,1.9782609999999998
45,2002-05-20,2.282609
46,2002-05-21,3.543478499999999
47,2002-05-22,3.978261
48,2002-05-23,3.9347830000000004
49,2002-05-24,4.7391305
50,2002-05-25,3.9130435000000006
51,2002-05-26,2.5434780000000003
52,2002-05-27,2.2173915
53,2002-05-28,2.7826085000000003
54,2002-05-29,2.547619
55,2002-05-30,2.5869564999999994
56,2002-05-31,3.0434780000000003
57,2002-06-01,4.9782605
58,2002-06-02,3.478261
59,2002-06-03,2.7173909999999997
60,2002-06-04,2.6739135000000003
61,2002-06-05,2.652174
62,2002-06-06,2.8418975
63,2002-06-07,2.899586
64,2002-06-08,2.521739
65,2002-06-09,2.3260870000000002
66,2002-06-10,2.478261
67,2002-06-11,3.75
68,2002-06-12,3.146245
69,2002-06-13,3.260869500000001
70,2002-06-14,3.8695654999999993
71,2002-06-15,3.6739130000000007
72,2002-06-16,3.2173909999999997
73,2002-06-17,3.0869565000000003
74,2002-06-18,2.375
75,2002-06-19,2.8695654999999993
76,2002-06-20,2.9130435000000006
77,2002-06-21,2.804348
78,2002-06-22,2.347826
79,2002-06-23,1.6521740000000003
80,2002-06-24,2.021739
81,2002-06-25,2.4166665
82,2002-06-26,1.6785715000000003
83,2002-06-27,1.9130434999999997
84,2002-06-28,5.0869565
85,2002-06-29,1.9130435000000001
86,2002-06-30,2.0652174999999997
87,2002-07-01,2.6956520000000004
88,2002-07-02,2.1521740000000005
89,2002-07-03,1.7391305
90,2002-07-04,2.0652174999999997
91,2002-07-05,1.9130435000000001
92,2002-07-06,1.695652
93,2002-07-07,1.5
94,2002-07-08,1.3695649999999997
95,2002-07-09,2.804348
96,2002-07-10,2.7826085000000003
97,2002-07-11,1.5217390000000002
98,2002-07-12,1.2391305
99,2002-07-13,1.2391305
100,2002-07-14,1.1739129999999998
101,2002-07-15,1.1086955
102,2002-07-16,1.1086955
103,2002-07-17,1.7173910000000001
104,2002-07-18,1.7173909999999997
105,2002-07-19,1.9130435
106,2002-07-20,1.695652
107,2002-07-21,1.9166664999999998
108,2002-07-22,1.0
109,2002-07-23,1.9051385000000003
110,2002-07-24,3.608696
111,2002-07-25,3.043478
112,2002-07-26,1.869565
113,2002-07-27,1.173913
114,2002-07-28,1.2608700000000002
115,2002-07-29,1.347826
116,2002-07-30,2.304348
117,2002-07-31,2.521739
118,2002-08-01,2.782609
119,2002-08-02,2.565217
120,2002-08-03,2.347826
121,2002-08-04,1.565217
122,2002-08-05,3.695652
123,2002-08-06,2.565217
124,2002-08-07,1.7391299999999998
125,2002-08-08,5.2294685
126,2002-08-09,4.608695500000001
127,2002-08-10,3.3043475000000004
128,2002-08-11,3.2391305
129,2002-08-12,4.0
130,2002-08-13,3.695652
131,2002-08-14,3.4565215
132,2002-08-15,2.695652
133,2002-08-16,2.3095239999999997
134,2002-08-17,3.0
135,2002-08-22,1.0
136,2002-08-23,2.1304350000000003
137,2002-08-24,2.152174
138,2002-08-25,1.2173914999999997
139,2002-08-26,1.7391305
140,2002-08-27,2.1304350000000003
141,2002-08-28,2.1739129999999998
142,2002-08-29,2.1758895000000003
143,2002-08-30,1.4130435
144,2002-08-31,1.4130435
145,2002-09-01,1.7391305
146,2002-09-02,1.7173915000000002
147,2002-09-03,3.0869564999999994
148,2002-09-04,2.7391305
149,2002-09-05,4.4565215
150,2002-09-06,4.130435
151,2002-09-07,3.5434785
152,2002-09-08,3.3478265
153,2002-09-09,5.441647499999999
154,2002-09-10,6.326086999999999
155,2002-09-11,4.434783
156,2002-09-12,4.347826
157,2002-09-13,4.369565499999999
158,2002-09-14,1.8550725000000001
159,2002-09-15,1.0
160,2002-09-16,3.1413045
161,2002-09-17,1.5652175000000002
162,2002-09-18,2.4347825
163,2002-09-19,1.195652
164,2002-09-20,1.347826
165,2002-09-21,1.7391305000000004
166,2002-09-22,1.326087
167,2002-09-23,2.4130434999999997
168,2002-09-24,3.4347825000000003
169,2002-09-25,4.369565
170,2002-09-26,3.8354040000000005
171,2002-09-27,2.2608694999999996
172,2002-09-28,2.1956525
173,2002-09-29,2.1304350000000003
174,2002-09-30,2.5652174999999993
175,2002-10-01,2.2826085000000003
176,2002-10-02,2.2173915
177,2002-10-03,1.9565215
178,2002-10-04,1.3695655000000002
179,2002-10-05,1.9130435000000001
180,2002-10-06,2.1086955
