,Date Local,NO2 Mean
0,2011-01-01,30.208333000000003
1,2011-01-02,35.0
2,2011-01-03,34.958333
3,2011-01-04,48.47619
4,2011-01-05,52.590909
5,2011-01-06,55.541667
6,2011-01-07,54.333333
7,2011-01-08,53.541667
8,2011-01-09,29.833333000000003
9,2011-01-10,34.041667
10,2011-01-11,42.409091
11,2011-01-12,50.954545
12,2011-01-13,44.652174
13,2011-01-14,39.583333
14,2011-01-15,36.125
15,2011-01-16,39.333333
16,2011-01-17,29.541667
17,2011-01-18,30.125
18,2011-01-19,16.0
19,2011-01-20,24.909091
20,2011-01-21,35.809524
21,2011-01-22,22.916667
22,2011-01-23,23.625
23,2011-01-24,35.083333
24,2011-01-25,40.454545
25,2011-01-26,36.772727
26,2011-01-27,31.826087
27,2011-01-28,34.0
28,2011-01-29,34.043478
29,2011-01-30,27.875
30,2011-01-31,15.416667000000002
31,2011-02-01,4.636364
32,2011-02-02,17.47619
33,2011-02-03,29.333333000000003
34,2011-02-04,37.541667
35,2011-02-05,28.75
36,2011-02-06,24.173913
37,2011-02-07,14.833332999999998
38,2011-02-08,4.791667
39,2011-02-09,14.952381
40,2011-02-10,25.217391
41,2011-02-11,30.208333000000003
42,2011-02-12,31.913043
43,2011-02-13,26.5
44,2011-02-14,25.304348
45,2011-02-15,21.0
46,2011-02-16,4.45
47,2011-02-17,22.782609
48,2011-02-18,16.954545
49,2011-02-19,17.166667
50,2011-02-20,12.173913
51,2011-02-21,21.333333
52,2011-02-22,17.826087
53,2011-02-23,25.545455
54,2011-02-24,28.25
55,2011-02-25,11.954545
56,2011-02-26,9.875
57,2011-02-27,10.833333
58,2011-02-28,23.708333
59,2011-03-01,36.363636
60,2011-03-02,24.045455
61,2011-03-03,18.73913
62,2011-03-04,18.75
63,2011-03-05,20.521739
64,2011-03-06,19.083333
65,2011-03-07,18.25
66,2011-03-08,20.857143
67,2011-03-09,27.625
68,2011-03-10,17.652174
69,2011-03-11,15.708332999999998
70,2011-03-12,14.333332999999998
71,2011-03-13,15.125
72,2011-03-14,18.818182
73,2011-03-15,26.916667
74,2011-03-16,5.227273
75,2011-03-17,12.041667
76,2011-03-18,10.272727
77,2011-03-19,5.875
78,2011-03-20,8.083333
79,2011-03-21,14.125
80,2011-03-22,9.772727
81,2011-03-23,12.25
82,2011-03-24,6.681817999999999
83,2011-03-25,11.666667
84,2011-03-26,16.086957
85,2011-03-27,8.208333
86,2011-03-28,18.15
87,2011-03-29,15.041667000000002
88,2011-03-30,20.571429
89,2011-03-31,13.708332999999998
90,2011-04-01,18.375
91,2011-04-02,12.304348
92,2011-04-03,9.541667
93,2011-04-04,15.9
94,2011-04-05,17.0
95,2011-04-06,8.5
96,2011-04-07,10.958333
97,2011-04-08,23.142857
98,2011-04-09,12.458333
99,2011-04-10,12.0
100,2011-04-11,16.714285999999998
101,2011-04-12,13.833332999999998
102,2011-04-13,12.608696
103,2011-04-14,7.590909
104,2011-04-15,15.583332999999998
105,2011-04-16,14.375
106,2011-04-17,9.391304
107,2011-04-18,16.285714000000002
108,2011-04-19,9.666667
109,2011-04-20,19.608696
110,2011-04-21,15.708332999999998
111,2011-04-22,9.291667
112,2011-04-23,13.869565
113,2011-04-24,11.916667
114,2011-04-25,10.111111
115,2011-04-27,6.8461539999999985
116,2011-04-28,12.304348
117,2011-04-29,6.2083330000000005
118,2011-04-30,8.416667
119,2011-05-01,7.583333
120,2011-05-02,16.8
121,2011-05-04,9.7
122,2011-05-05,18.625
123,2011-05-06,14.875
124,2011-05-07,12.478261
125,2011-05-08,5.916667
126,2011-05-09,9.041667
127,2011-05-10,10.0
128,2011-05-11,11.375
129,2011-05-12,13.208332999999998
130,2011-05-13,13.681818
131,2011-05-14,6.7083330000000005
132,2011-05-15,1.833333
133,2011-05-16,4.052632
134,2011-05-17,10.75
135,2011-05-18,11.375
136,2011-05-19,13.304348
137,2011-05-20,10.782609
138,2011-05-21,8.208333
139,2011-05-22,6.916667
140,2011-05-23,10.190476
141,2011-05-24,7.708333
142,2011-05-25,11.130435
143,2011-05-26,7.208333
144,2011-05-27,12.478261
145,2011-05-28,6.166667
146,2011-05-29,6.8
147,2011-05-30,8.208333
148,2011-05-31,12.375
149,2011-06-01,10.916667
150,2011-06-02,5.625
151,2011-06-03,13.5
152,2011-06-04,17.875
153,2011-06-05,11.916667
154,2011-06-06,9.583333
155,2011-06-07,7.782609
156,2011-06-08,10.227273
157,2011-06-09,7.454544999999999
158,2011-06-10,10.041667
159,2011-06-11,9.5
160,2011-06-12,7.833333
161,2011-06-13,12.05
162,2011-06-14,8.708333
163,2011-06-15,13.130435
164,2011-06-16,8.75
165,2011-06-17,7.478261
166,2011-06-18,7.666666999999999
167,2011-06-19,8.541667
168,2011-06-20,6.869565
169,2011-06-21,10.681818
170,2011-06-22,13.095238
171,2011-06-23,11.333333
172,2011-06-24,9.583333
173,2011-06-25,9.434783
174,2011-06-26,6.625
175,2011-06-27,8.375
176,2011-06-28,16.333333
177,2011-06-29,14.541667000000002
178,2011-06-30,10.304348
179,2011-07-01,10.458333
180,2011-07-02,12.708333
181,2011-07-03,9.75
182,2011-07-04,9.916667
183,2011-07-05,9.583333
184,2011-07-06,9.454545
185,2011-07-07,15.210526000000002
186,2011-07-08,12.0
187,2011-07-09,6.375
188,2011-07-10,3.541667
189,2011-07-11,6.666667
190,2011-07-12,17.285714000000002
191,2011-07-13,16.458333
192,2011-07-14,11.166667
193,2011-07-15,10.125
194,2011-07-16,12.666667
195,2011-07-17,9.166667
196,2011-07-18,7.916666999999999
197,2011-07-19,12.3
198,2011-07-20,12.583333
199,2011-07-21,13.541667000000002
200,2011-07-22,11.25
201,2011-07-23,8.166667
202,2011-07-24,7.916666999999999
203,2011-07-25,13.708332999999998
204,2011-07-26,8.458333
205,2011-07-27,10.541667
206,2011-07-28,8.375
207,2011-07-29,13.833332999999998
208,2011-07-30,8.791667
209,2011-07-31,6.791667
210,2011-08-01,10.105263
211,2011-08-02,15.5
212,2011-08-03,8.833333
213,2011-08-04,10.5
214,2011-08-05,10.458333
215,2011-08-06,12.666667
216,2011-08-07,9.458333
217,2011-08-08,11.958333
218,2011-08-09,11.916667
219,2011-08-10,16.0
220,2011-08-11,13.6
221,2011-08-12,13.578947
222,2011-08-13,7.916666999999999
223,2011-08-14,4.375
224,2011-08-15,7.6190479999999985
225,2011-08-16,14.583332999999998
226,2011-08-17,15.833332999999998
227,2011-08-18,21.294118
228,2011-08-19,20.0
229,2011-08-20,10.73913
230,2011-08-21,8.458333
231,2011-08-22,13.041667
232,2011-08-23,15.208332999999998
233,2011-08-24,19.047619
234,2011-08-25,18.55
235,2011-08-26,24.041667
236,2011-08-27,22.375
237,2011-08-28,19.541667
238,2011-08-29,23.541667
239,2011-08-30,17.952381
240,2011-08-31,5.2
241,2011-09-01,13.0
242,2011-09-02,13.307692
243,2011-09-03,18.875
244,2011-09-04,19.625
245,2011-09-05,16.666667
246,2011-09-06,11.458333
247,2011-09-07,10.208333
248,2011-09-08,11.73913
249,2011-09-09,18.666667
250,2011-09-10,8.791667
251,2011-09-11,7.833333
252,2011-09-12,12.083333
253,2011-09-13,14.454545
254,2011-09-14,10.333333
255,2011-09-15,9.541667
256,2011-09-16,15.666667000000002
257,2011-09-17,7.333333
258,2011-09-18,10.695652
259,2011-09-19,14.333332999999998
260,2011-09-20,13.619048
261,2011-09-21,17.25
262,2011-09-22,17.916667
263,2011-09-23,19.291667
264,2011-09-24,19.208333
265,2011-09-25,16.708333
266,2011-09-26,13.041667
267,2011-09-27,20.333333
268,2011-09-28,24.652174
269,2011-09-29,26.954545
270,2011-09-30,29.0
271,2011-10-01,15.375
272,2011-10-02,12.916667
273,2011-10-03,15.583332999999998
274,2011-10-04,11.521739
275,2011-10-05,6.095238
276,2011-10-06,11.565217
277,2011-10-09,12.434783
278,2011-10-10,12.958333
279,2011-10-11,17.043478
280,2011-10-12,19.818182
281,2011-10-13,29.954545
282,2011-10-14,20.166667
283,2011-10-15,20.083333
284,2011-10-16,16.208333
285,2011-10-17,10.0
286,2011-10-18,21.666667
287,2011-10-19,25.181818
288,2011-10-20,24.347826
289,2011-10-21,23.565217
290,2011-10-22,18.833333
291,2011-10-23,19.583333
292,2011-10-24,20.0
293,2011-10-25,16.4
294,2011-10-26,20.681818
295,2011-10-27,26.363636
296,2011-10-28,33.291667
297,2011-10-29,31.625
298,2011-10-30,23.666667
299,2011-10-31,26.833333000000003
300,2011-11-01,12.086957
301,2011-11-02,19.75
302,2011-11-03,25.434783
303,2011-11-04,13.043478
304,2011-11-05,11.458333
305,2011-11-06,13.708332999999998
306,2011-11-07,18.125
307,2011-11-08,21.590909
308,2011-11-09,30.458333000000003
309,2011-11-10,34.666667
310,2011-11-11,35.916667
311,2011-11-12,14.083332999999998
312,2011-11-13,23.583333
313,2011-11-14,25.0
314,2011-11-15,26.652174
315,2011-11-16,29.476190000000006
316,2011-11-17,27.869565
317,2011-11-18,10.782609
318,2011-11-19,18.333333
319,2011-11-20,29.083333000000003
320,2011-11-21,28.0
321,2011-11-22,27.809524
322,2011-11-23,26.25
323,2011-11-24,17.041667
324,2011-11-25,18.833333
325,2011-11-26,26.833333000000003
326,2011-11-27,29.833333000000003
327,2011-11-28,38.041667
328,2011-11-29,37.043478
