,Date Local,NO2 Mean
0,2013-08-01,3.704167
1,2013-08-02,8.225
2,2013-08-03,12.573913
3,2013-08-04,10.254545
4,2013-08-05,15.5875
5,2013-08-06,17.616667
6,2013-08-07,20.304167
7,2013-08-08,8.0
8,2013-08-09,17.9375
9,2013-08-10,8.9125
10,2013-08-11,5.686364
11,2013-08-12,8.729167
12,2013-08-13,10.85
13,2013-08-16,11.022222
14,2013-08-17,6.495652
15,2013-08-18,3.568182
16,2013-08-19,8.58
17,2013-08-20,5.0875
18,2013-08-21,10.266667
19,2013-08-22,22.758333
20,2013-08-23,3.254167
21,2013-08-24,5.6347830000000005
22,2013-08-25,9.590909
23,2013-08-26,13.129167
24,2013-08-27,13.370833
25,2013-08-28,17.1875
26,2013-08-29,8.745455
27,2013-08-30,7.0227270000000015
28,2013-08-31,15.173913
29,2013-09-01,11.568182
30,2013-09-02,13.133333
31,2013-09-03,18.875
32,2013-09-04,18.45
33,2013-09-05,17.016667
34,2013-09-06,10.475
35,2013-09-07,12.316667
36,2013-09-08,18.518182
37,2014-04-01,10.05
38,2014-04-02,12.229167
39,2014-04-03,13.2875
40,2014-04-04,7.483333
41,2014-04-05,7.804167
42,2014-04-06,4.269565
43,2014-04-07,9.379167
44,2014-04-08,6.545833
45,2014-04-09,6.241667
46,2014-04-10,6.504167
47,2014-04-11,6.829167
48,2014-04-12,5.879167
49,2014-04-13,13.726087
50,2014-04-14,17.804167
51,2014-04-15,4.9625
52,2014-04-16,12.125
53,2014-04-17,9.0625
54,2014-04-18,5.734783
55,2014-04-19,7.204167
56,2014-04-20,8.031818
57,2014-04-25,10.9625
58,2015-04-24,8.56
59,2015-04-25,8.620833
60,2015-04-26,5.829167
61,2015-04-27,13.004167
62,2015-04-28,8.383333
63,2015-04-30,11.529412
64,2015-05-01,5.475
65,2015-05-02,5.141667
66,2015-05-03,13.529167
67,2015-05-04,6.729167
68,2015-05-05,4.633333
69,2015-05-06,5.775
70,2015-05-08,9.020833
71,2015-05-09,12.379167
72,2015-05-10,8.541667
73,2015-05-11,7.808333
74,2015-05-12,8.529167
75,2015-05-13,8.104167
76,2015-05-14,13.791667000000002
77,2015-05-15,10.841667
78,2015-05-16,2.941667
79,2015-05-17,8.291667
80,2015-05-18,7.383333
81,2015-06-01,10.795833
82,2015-06-02,4.979167
83,2015-06-03,7.8761899999999985
84,2015-06-04,6.179167
